annee,delegation,superficie_des_cultures_industrielles_en_ha,superficie_arboriculture_en_ha,superficie_olive_huile,feuille
2016,MANOUBA,0.0,50.0,25.0,Feuil2
2016,DOUAR HICHER,0.0,20.0,55.0,Feuil2
2016,OUED ELLIL,0.0,800.0,1550.0,Feuil2
2016,MORNAGUIA,0.0,1700.0,2300.0,Feuil2
2016,BORJ EL AMRI,0.0,800.0,3000.0,Feuil2
2016,DJEDAIDA,70.0,2200.0,700.0,Feuil2
2016,TEBOURBA,70.0,1800.0,2500.0,Feuil2
2016,EL BATTANE,20.0,2400.0,1700.0,Feuil2
2017,MANOUBA,0.0,51.1770726714432,25.06339814032122,Feuil2
2017,DOUAR HICHER,0.0,20.470829068577277,55.13947590870668,Feuil2
2017,OUED ELLIL,0.0,818.8331627430912,1553.9306846999152,Feuil2
2017,MORNAGUIA,0.0,1740.0204708290687,2305.832628909552,Feuil2
2017,BORJ EL AMRI,0.0,818.8331627430912,3007.6077768385458,Feuil2
2017,DJEDAIDA,50.0,2251.7911975435004,701.7751479289941,Feuil2
2017,TEBOURBA,50.0,1842.374616171955,2506.339814032122,Feuil2
2017,EL BATTANE,35.0,2456.499488229273,1704.311073541843,Feuil2
2018,MANOUBA,,51.1770726714432,25.06339814032122,Feuil2
2018,DOUAR HICHER,,20.470829068577277,55.13947590870668,Feuil2
2018,OUED ELLIL,,818.8331627430912,1553.9306846999152,Feuil2
2018,MORNAGUIA,,1740.0204708290687,2305.832628909552,Feuil2
2018,BORJ EL AMRI,,818.8331627430912,3007.6077768385458,Feuil2
2018,DJEDAIDA,100.0,2251.7911975435004,701.7751479289941,Feuil2
2018,TEBOURBA,100.0,1842.374616171955,2506.339814032122,Feuil2
2018,EL BATTANE,65.0,2456.499488229273,1704.311073541843,Feuil2
2019,MANOUBA,,50.06334047943871,25.06339814032122,Feuil2
2019,DOUAR HICHER,,20.025336191775484,55.13947590870668,Feuil2
2019,OUED ELLIL,,841.0641200545703,1553.9306846999152,Feuil2
2019,MORNAGUIA,,1782.254921068018,2305.832628909552,Feuil2
2019,BORJ EL AMRI,,841.0641200545703,3007.607776838546,Feuil2
2019,DJEDAIDA,120.0,2302.9136620541803,701.7751479289941,Feuil2
2019,TEBOURBA,120.0,1895.3980705515494,2506.339814032122,Feuil2
2019,EL BATTANE,70.0,2503.167023971935,1704.3110735418427,Feuil2
2020,MANOUBA,,50.126761199204125,25.06339814032122,Feuil2
2020,DOUAR HICHER,,20.050704479681652,55.13947590870668,Feuil2
2020,OUED ELLIL,,842.1295881466292,1553.9306846999152,Feuil2
2020,MORNAGUIA,10.0,1784.5126986916669,2305.832628909552,Feuil2
2020,BORJ EL AMRI,,842.1295881466292,3007.607776838546,Feuil2
2020,DJEDAIDA,260.0,2305.8310151633896,701.7751479289941,Feuil2
2020,TEBOURBA,613.0,1897.799179001868,2506.339814032122,Feuil2
2020,EL BATTANE,97.0,2506.338059960206,1704.3110735418427,Feuil2
2021,MANOUBA,,51.17076381688098,25.06339814032122,Feuil2
2021,DOUAR HICHER,,20.468305526752395,55.13947590870668,Feuil2
2021,OUED ELLIL,,859.6688321236004,1553.9306846999152,Feuil2
2021,MORNAGUIA,10.0,1821.679191880963,2305.832628909552,Feuil2
2021,BORJ EL AMRI,,859.6688321236004,3007.607776838546,Feuil2
2021,DJEDAIDA,250.0,2353.855135576525,701.7751479289941,Feuil2
2021,TEBOURBA,600.0,1937.3251181071137,2506.339814032122,Feuil2
2021,EL BATTANE,90.0,2558.5381908440486,1704.3110735418427,Feuil2
2022,MANOUBA,,50.0,25.06339814032122,Feuil2
2022,DOUAR HICHER,,20.0,55.13947590870668,Feuil2
2022,OUED ELLIL,,860.0,1553.9306846999152,Feuil2
2022,MORNAGUIA,10.0,1850.0,2305.832628909552,Feuil2
2022,BORJ EL AMRI,,957.0,3007.607776838546,Feuil2
2022,DJEDAIDA,120.0,2400.0,701.7751479289941,Feuil2
2022,TEBOURBA,300.0,2010.0,2506.339814032122,Feuil2
2022,EL BATTANE,43.0,2620.0,1704.3110735418427,Feuil2
2023,MANOUBA,,47.46911860313922,25.06339814032122,Feuil2
2023,DOUAR HICHER,,18.98764744125569,55.13947590870668,Feuil2
2023,OUED ELLIL,,816.4688399739946,1553.9306846999152,Feuil2
2023,MORNAGUIA,20.0,1756.3573883161512,2305.832628909552,Feuil2
2023,BORJ EL AMRI,,908.5589300640847,3007.607776838546,Feuil2
2023,DJEDAIDA,150.0,2278.5176929506824,701.7751479289941,Feuil2
2023,TEBOURBA,450.0,1908.2585678461967,2506.339814032122,Feuil2
2023,EL BATTANE,80.0,2487.381814804495,1704.3110735418427,Feuil2
2024,MANOUBA,,48.13318473112288,25.06339814032122,Feuil2
2024,DOUAR HICHER,,19.25327389244915,55.13947590870668,Feuil2
2024,OUED ELLIL,,827.8907773753135,1555.0,Feuil2
2024,MORNAGUIA,35.0,1780.9278350515465,2305.832628909552,Feuil2
2024,BORJ EL AMRI,,921.2691557536918,3007.607776838546,Feuil2
2024,DJEDAIDA,240.0,2310.3928670938976,701.7751479289941,Feuil2
2024,TEBOURBA,700.0,1934.9540261911395,2470.0,Feuil2
2024,EL BATTANE,125.0,2522.1788799108385,1710.0,Feuil2
