annee,station,quantite_pluviometrie,moyenne_annuelle_mm,nombre_jours_pluvieux,moyene_deficit_par_rapport_annee_derniere,feuille
2021-2022,الفلاحة قبلــي,43.1,94.5,13,45.6,Feuil1
2021-2022,الفلاحة دوز,27.9,90.0,8,31.0,Feuil1
2021-2022,الفلاحة سوق الأحد,50.5,84.0,15,60.11,Feuil1
2021-2022,الفلاحة الفوار,31.9,67.0,4,47.61,Feuil1
2022-2023,الفلاحة قبلــي,49.0,94.5,18,51.85,Feuil1
2022-2023,الفلاحة دوز,50.2,90.0,16,55.77,Feuil1
2022-2023,الفلاحة سوق الأحد,39.5,84.0,21,47.02,Feuil1
2022-2023,الفلاحة الفوار,43.5,67.0,11,64.92,Feuil1
