annee,2010,2011,2012,2013,feuille
janvier,28.102,28.579483870967742,27.603,27.603,Feuil1
fevrier,28.102,27.711000000000002,27.603,27.603,Feuil1
mars,28.102,27.711,27.603,27.014,Feuil1
avril,28.102,27.711000000000002,27.603,27.014,Feuil1
mai,28.102,27.710999999999995,27.603,27.014,Feuil1
juin,27.917,27.711,27.603000000000005,27.014,Feuil1
juillet,27.917,27.711,27.603,27.014,Feuil1
aout,29.782,27.710999999999995,27.603000000000005,27.014,Feuil1
septembre,29.782,27.711,27.602999999999998,27.014,Feuil1
octobre,29.782,27.711,27.603,27.014,Feuil1
novembre,29.782,27.711,27.602999999999998,27.014,Feuil1
decembre,29.782,27.711,27.603,27.013999999999996,Feuil1
