inv_declare,nbr_adi,nbr_emploi_pervu,mois,gouvernorat,feuille
1691500,5,28,1,منــوبة,SQL Results
2838690,24,30,1,تطاوين,SQL Results
2347000,11,18,1,المنستير,SQL Results
1195647,15,19,1,مدنين,SQL Results
481237,8,6,1,توزر,SQL Results
2651135,27,41,1,نابل,SQL Results
570075,5,1,1,زغوان,SQL Results
2090700,12,16,1,سوسة,SQL Results
5237722,80,82,1,القصرين,SQL Results
418731,6,5,1,قبلي,SQL Results
1488000,36,7,1,سليانة,SQL Results
901440,26,25,1,الكاف,SQL Results
6382241,77,112,1,سيدي بوزيد,SQL Results
3597296,58,65,1,باجة,SQL Results
4461771,16,46,1,بنزرت,SQL Results
2770699,35,33,1,صفاقس,SQL Results
3289060,17,24,1,قفصة,SQL Results
3028638,12,33,1,بن عروس,SQL Results
363033,4,1,1,تــونس,SQL Results
1467638,30,11,1,جندوبة,SQL Results
3948689,17,16,1,القيروان,SQL Results
766418,5,3,1,قابس,SQL Results
5737100,28,38,1,المهدية,SQL Results
551265,4,0,1,أريانة,SQL Results
2323511,18,28,2,مدنين,SQL Results
2873770,56,58,2,الكاف,SQL Results
351670,8,2,2,تــونس,SQL Results
6501500,10,10,2,المنستير,SQL Results
1210000,22,0,2,سليانة,SQL Results
7699909,42,52,2,صفاقس,SQL Results
1963002,36,8,2,جندوبة,SQL Results
39210,1,0,2,توزر,SQL Results
6033731,58,85,2,نابل,SQL Results
2467978,38,47,2,القيروان,SQL Results
85000,2,2,2,سوسة,SQL Results
383622,3,3,2,أريانة,SQL Results
1031166,13,17,2,قبلي,SQL Results
1584560,20,31,2,باجة,SQL Results
2032774,27,16,2,قابس,SQL Results
4964584,45,62,2,سيدي بوزيد,SQL Results
1264242,14,25,2,بن عروس,SQL Results
1489921,12,40,2,منــوبة,SQL Results
1306536,18,32,2,تطاوين,SQL Results
3029000,26,31,2,المهدية,SQL Results
15476275,25,10,2,زغوان,SQL Results
2696764,38,37,2,قفصة,SQL Results
8512608,26,48,2,بنزرت,SQL Results
5096783,42,56,2,القصرين,SQL Results
5058137,18,47,3,نابل,SQL Results
4385447,31,24,3,بنزرت,SQL Results
6989000,11,197,3,بن عروس,SQL Results
3345390,17,31,3,زغوان,SQL Results
2804650,34,220,3,القيروان,SQL Results
1031700,5,15,3,منــوبة,SQL Results
4177121,52,52,3,الكاف,SQL Results
3966108,43,75,3,القصرين,SQL Results
64200,10,10,3,تطاوين,SQL Results
4213111,22,46,3,مدنين,SQL Results
5939738,45,45,3,سيدي بوزيد,SQL Results
2830000,15,13,3,المنستير,SQL Results
1081243,13,10,3,قبلي,SQL Results
1598023,17,15,3,قابس,SQL Results
4379700,24,13,3,سليانة,SQL Results
10716627,29,53,3,صفاقس,SQL Results
2856802,22,39,3,قفصة,SQL Results
200007,1,5,3,أريانة,SQL Results
715402,9,7,3,توزر,SQL Results
1117000,8,7,3,سوسة,SQL Results
1824700,23,24,3,المهدية,SQL Results
127935,2,0,3,تــونس,SQL Results
2109914,37,8,3,جندوبة,SQL Results
6883083,17,78,3,باجة,SQL Results
1098098,7,18,4,تطاوين,SQL Results
144892,3,3,4,تــونس,SQL Results
502664,8,9,4,باجة,SQL Results
1025665,11,7,4,قبلي,SQL Results
1234000,4,16,4,زغوان,SQL Results
2173000,30,9,4,سليانة,SQL Results
2156877,18,31,4,مدنين,SQL Results
1973000,14,17,4,المنستير,SQL Results
1605990,18,17,4,بن عروس,SQL Results
7690913,53,57,4,صفاقس,SQL Results
2651867,23,21,4,بنزرت,SQL Results
2496503,46,41,4,الكاف,SQL Results
1931555,22,9,4,جندوبة,SQL Results
1400275,18,21,4,قابس,SQL Results
1534000,11,16,4,سوسة,SQL Results
5091937,79,107,4,نابل,SQL Results
273163,4,3,4,أريانة,SQL Results
5746400,37,35,4,المهدية,SQL Results
1544143,19,18,4,قفصة,SQL Results
3889518,24,35,4,منــوبة,SQL Results
6328153,104,83,4,القصرين,SQL Results
12982000,28,37,4,القيروان,SQL Results
3619824,49,32,4,سيدي بوزيد,SQL Results
4936570,6,13,4,توزر,SQL Results
872082,15,20,5,قابس,SQL Results
1580471,34,0,5,زغوان,SQL Results
7984397,67,110,5,صفاقس,SQL Results
9556811,8,82,5,باجة,SQL Results
808528,11,8,5,قفصة,SQL Results
1522000,29,3,5,سليانة,SQL Results
4314818,6,7,5,منــوبة,SQL Results
287589,5,4,5,أريانة,SQL Results
5646000,22,12,5,المنستير,SQL Results
543100,9,12,5,سوسة,SQL Results
2490337,29,54,5,بنزرت,SQL Results
963345,11,8,5,تــونس,SQL Results
2878488,26,46,5,المهدية,SQL Results
308223,2,2,5,توزر,SQL Results
8578199,24,135,5,نابل,SQL Results
7365736,43,67,5,سيدي بوزيد,SQL Results
2430864,19,19,5,تطاوين,SQL Results
3212250,51,45,5,الكاف,SQL Results
464236,5,5,5,قبلي,SQL Results
3845777,12,21,5,جندوبة,SQL Results
3806066,68,53,5,القصرين,SQL Results
2736325,13,34,5,بن عروس,SQL Results
1527817,23,31,5,مدنين,SQL Results
3405009,34,66,5,القيروان,SQL Results
674277,9,7,6,قابس,SQL Results
1020573,3,0,6,تــونس,SQL Results
4052776,7,5,6,زغوان,SQL Results
12550000,26,31,6,المهدية,SQL Results
1973982,27,11,6,جندوبة,SQL Results
909341,9,6,6,توزر,SQL Results
3503450,33,38,6,سيدي بوزيد,SQL Results
1605591,9,21,6,بن عروس,SQL Results
2301075,19,33,6,بنزرت,SQL Results
299000,6,3,6,سوسة,SQL Results
5851540,18,22,6,المنستير,SQL Results
933358,9,9,6,قبلي,SQL Results
2925819,34,38,6,الكاف,SQL Results
1541032,21,24,6,مدنين,SQL Results
7512773,42,53,6,صفاقس,SQL Results
2318000,19,2,6,سليانة,SQL Results
2504857,21,40,6,تطاوين,SQL Results
1269045,12,7,6,منــوبة,SQL Results
181000,2,2,6,أريانة,SQL Results
7886619,66,89,6,نابل,SQL Results
3838098,43,52,6,القصرين,SQL Results
7812804,20,76,6,القيروان,SQL Results
2226641,12,32,6,باجة,SQL Results
405591,8,3,6,قفصة,SQL Results
1273109,18,22,7,بنزرت,SQL Results
6987318,85,90,7,القصرين,SQL Results
96707,2,1,7,توزر,SQL Results
7350388,36,59,7,سيدي بوزيد,SQL Results
2715479,15,75,7,نابل,SQL Results
10261494,14,40,7,القيروان,SQL Results
736805,7,1,7,تــونس,SQL Results
4359000,23,51,7,المهدية,SQL Results
2631800,17,15,7,المنستير,SQL Results
2266790,20,26,7,مدنين,SQL Results
1273500,2,12,7,منــوبة,SQL Results
366107,7,7,7,باجة,SQL Results
1636378,3,12,7,قفصة,SQL Results
4858867,18,56,7,زغوان,SQL Results
493155,10,7,7,الكاف,SQL Results
558000,7,3,7,سليانة,SQL Results
60000,1,0,7,أريانة,SQL Results
124783,7,6,7,تطاوين,SQL Results
479000,6,2,7,سوسة,SQL Results
85205,2,1,7,قبلي,SQL Results
42480,4,2,7,بن عروس,SQL Results
598157,7,0,7,جندوبة,SQL Results
8551533,30,58,7,صفاقس,SQL Results
1250767,11,13,7,قابس,SQL Results
1500648,10,30,8,زغوان,SQL Results
435148,9,13,8,مدنين,SQL Results
16499,1,0,8,توزر,SQL Results
204592,3,0,8,بن عروس,SQL Results
2063088,19,21,8,نابل,SQL Results
864423,16,7,8,جندوبة,SQL Results
571888,6,5,8,قبلي,SQL Results
1192501,11,4,8,سليانة,SQL Results
1071823,11,14,8,قفصة,SQL Results
192095,5,8,8,باجة,SQL Results
1459913,28,20,8,الكاف,SQL Results
3906535,9,19,8,بنزرت,SQL Results
1339080,14,20,8,القيروان,SQL Results
2532352,30,25,8,صفاقس,SQL Results
622000,12,13,8,المنستير,SQL Results
2013547,7,11,8,القصرين,SQL Results
3816596,25,38,8,سيدي بوزيد,SQL Results
55912,1,0,8,تــونس,SQL Results
1004239,11,15,8,منــوبة,SQL Results
314400,6,2,8,سوسة,SQL Results
106629,2,1,8,تطاوين,SQL Results
3489100,25,24,8,المهدية,SQL Results
4387357,31,54,9,قفصة,SQL Results
4449654,25,12,9,جندوبة,SQL Results
1738718,35,26,9,الكاف,SQL Results
6218000,9,32,9,سوسة,SQL Results
1828464,8,18,9,تطاوين,SQL Results
6582119,42,58,9,سيدي بوزيد,SQL Results
12277,1,0,9,توزر,SQL Results
3431948,61,54,9,صفاقس,SQL Results
2111887,32,39,9,القصرين,SQL Results
1120128,5,4,9,أريانة,SQL Results
800600,10,12,9,بن عروس,SQL Results
1118507,6,28,9,تــونس,SQL Results
1731000,34,1,9,سليانة,SQL Results
4675000,30,68,9,القيروان,SQL Results
1242000,6,2,9,باجة,SQL Results
2720000,26,44,9,المهدية,SQL Results
929500,8,35,9,المنستير,SQL Results
1449818,11,19,9,زغوان,SQL Results
1875223,14,29,9,مدنين,SQL Results
4523645,47,47,9,بنزرت,SQL Results
4614915,16,28,9,منــوبة,SQL Results
6017589,23,26,9,قابس,SQL Results
4399731,88,44,9,نابل,SQL Results
1488859,11,13,9,قبلي,SQL Results
3275418,77,63,10,القصرين,SQL Results
1131959,5,8,10,أريانة,SQL Results
2209439,30,30,10,سيدي بوزيد,SQL Results
1890973,54,90,10,الكاف,SQL Results
325342,5,4,10,باجة,SQL Results
3065153,24,55,10,جندوبة,SQL Results
4225600,11,32,10,المنستير,SQL Results
2206584,17,17,10,سليانة,SQL Results
5275105,49,62,10,صفاقس,SQL Results
1988473,10,18,10,منــوبة,SQL Results
1919348,21,21,10,قابس,SQL Results
1737607,22,18,10,قفصة,SQL Results
1111346,19,25,10,تطاوين,SQL Results
2402593,33,24,10,بنزرت,SQL Results
2406064,23,44,10,مدنين,SQL Results
545347,6,4,10,قبلي,SQL Results
367713,13,13,10,توزر,SQL Results
3483900,21,36,10,المهدية,SQL Results
872480,7,11,10,بن عروس,SQL Results
2116653,16,6,10,زغوان,SQL Results
