annee,delegation,activites,nombre_daffilie,zone_dintervention,cooperative,feuille
2021,bousalem,service agricole,118,bousalem,الفــــــــــــلاّح,cooperative
2021,Tabarka,Peche,35,Tabarka,الصيد البحري,cooperative
2021,Fernana,service agricole,30,Fernana,الأمـــــــــــان,cooperative
2021,Jendouba,service agricole,49,Jendouba,التكافـــــــــل,cooperative
2021,Aîn Draham,service agricole,66,Aîn Draham,ينابيــع الخيــر,cooperative
2021,Jendouba,Femme rurale,63,Jendouba,للاسن خمير,cooperative
2023,bousalem,service agricole,350,bousalem,الفــــــــــــلاّح,cooperative
2023,Tabarka,Peche,20,Tabarka,الصيد البحري,cooperative
2023,Fernana,service agricole,150,Fernana,الأمـــــــــــان,cooperative
2023,Fernana,apiculture,17,Fernana,ابيسرفيس,cooperative
2023,Jendouba,service agricole,66,Jendouba,ينابيــع الخيــر,cooperative
2023,Aîn Draham,Femme rurale,63,Aîn Draham,ميرتيس,cooperative
2023,Aîn Draham,service agricole,50,Aîn Draham,الفائجة,cooperative
2023,Jendouba,Femme rurale,63,Jendouba,للاسن خمير,cooperative
2024,bousalem,service agricole,350,bousalem,الفــــــــــــلاّح,cooperative
2024,Tabarka,Peche,20,Tabarka,الصيد البحري,cooperative
2024,Fernana,service agricole,150,Fernana,الأمـــــــــــان,cooperative
2024,Fernana,apiculture,17,Fernana,ابيسرفيس,cooperative
2024,Jendouba,service agricole,66,Jendouba,ينابيــع الخيــر,cooperative
2024,Aîn Draham,Femme rurale,63,Aîn Draham,ميرتيس,cooperative
2024,Aîn Draham,service agricole,50,Aîn Draham,الفائجة,cooperative
2024,Jendouba,Femme rurale,63,Jendouba,للاسن خمير,cooperative
