annee,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,ann_2020,ann_2021,ann_2022,ann_2023,ann_2024,ann_2025,feuille
pulpe -de-tomate,38.0,37.4,41.4,42.8,66.8,37.5,35.0,46.0,33.0,31.0,31.0,40.0,48.25,46.3,93,40.0,68.8,,Feuil1
grignions-olives,247.0,99.0,247.0,297.0,317.8,120.0,107.0,235.0,197.0,141.0,92.0,49.0,141.0,197.4,112,90.0,77.55,,Feuil1
marcs-de-raisin,10.0,17.6,10.0,7.6,7.2,6.3,7.2,6.7,15.0,15.0,7.0,7.0,31.2,33.45,28,33.0,21.4,,Feuil1
son-de-ble,304.0,456.0,529.0,450.0,516.0,505.0,536.0,570.0,590.0,622.66,617.4,627.9,644.0,649.0,624,656.0,450.7,,Feuil1
dreche-de-brasserie,7.0,8.0,12.5,11.6,12.2,12.0,13.5,13.0,9.0,9.0,9.0,9.0,9.0,9.0,9,7.0,7.0,,Feuil1
tourteaux-de-soja-local,0.0,164.0,302.0,337.0,336.0,320.0,348.0,334.0,377.0,357.0,399.0,336.0,361.0,408.0,286,323.0,337.0,,Feuil1
pulpes-de-betterave,0.0,0.0,0.0,0.0,0.0,0.0,23.0,30.0,22.0,22.566,12.0,23.7,30.46,14.0,9,7.0,,,Feuil1
melasse,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.3,6.0,6.1,6.1,4.83,6.125,3.5,2,,,,Feuil1
paille-de-cereale,1188.0,2100.0,850.0,1400.0,1300.0,1050.0,1400.0,1000.0,1090.0,1000.0,1128.0,1920.0,1224.0,1315.4,1436,432.0,1441.0,1586.0,Feuil1
feuilles-et-brindilles-olivier,275.0,350.0,250.0,408.0,464.7,105.7,561.0,750.0,869.0,665.7,990.0,661.0,1102.5,850.5,588,588.0,495.0,,Feuil1
dechets-de-dattes,0.0,0.0,21.0,28.5,28.8,31.0,30.0,34.0,44.0,54.77,42.69,42.0,51.75,70.4,73,64.0,52.7,,Feuil1
tourteaux-de-colza,,,,,,,,,,1.5,4.0,8.0,10.0,11.0,10,6.0,16.0,,Feuil1
