annee,delegation,nombre_puits_de_surface_equipes,nombre_puits_de_surface_non_equipes,nombre_total_puits_surface,nombre_puits_profonds_equipes,nombre_puits_profonds_non_equipes,nombre_total_puits_profonds,feuille
2024,Jendouba,450,260,710,5,3,8,Feuil1
2024,Jendouba Nord,280,153,433,31,9,40,Feuil1
2024,bousalem,532,642,1174,22,19,41,Feuil1
2024,Baltabouauen,651,219,870,21,7,28,Feuil1
2024,Tabarka,225,279,504,24,8,32,Feuil1
2024,Aïn Draham,0,0,0,0,3,3,Feuil1
2024,Fernana,15,39,54,3,3,6,Feuil1
2024,Ghardimao,255,114,369,59,23,82,Feuil1
2024,Oued Mliz,55,108,163,46,15,61,Feuil1
2024,Total,2463,1814,4277,211,90,301,Feuil1
