annee,production_agricole,peche,eaux,forets_et_amenagement_des_terres_agricoles,enseignement_superieur_et_recherche_scientifique,projets_de_developpement_agricole_integre,divers,feuille
2018,24.2,24.1,306.1,120.3,12.8,30.5,4.1,Feuil1
2019,31.1,34.1,307.2,124.3,12.9,39.2,5.2,Feuil1
2020,31.9,38.4,332.0,124.9,9.4,40.4,,Feuil1
2021,49.1,29.0,212.0,127.3,10.5,44.0,,Feuil1
2022,29.0,29.9,340.0,148.4,9.7,55.2,,Feuil1
