campagne_agricole,type_arbo,superficie_hectare,production_tonne,feuille
2017/2018,قوارص,3.0,53.3,Feuil1
2017/2018,لوز جاف,258.0,627.2,Feuil1
2017/2018,خوخ,163.5,606.3,Feuil1
2017/2018,تفاح,5.5,23.75,Feuil1
2017/2018,إجاص,10.0,49.8,Feuil1
2017/2018,تين,15.0,22.5,Feuil1
2018/2019,قوارص,3.0,48.0,Feuil1
2018/2019,لوز جاف,258.0,591.0,Feuil1
2018/2019,خوخ,159.0,671.0,Feuil1
2018/2019,تفاح,5.5,27.0,Feuil1
2018/2019,إجاص,10.0,43.0,Feuil1
2018/2019,تين,15.0,22.0,Feuil1
2019/2020,قوارص,3.0,48.5,Feuil1
2019/2020,لوز جاف,258.0,659.0,Feuil1
2019/2020,خوخ,159.0,556.0,Feuil1
2019/2020,تفاح,5.5,23.0,Feuil1
2019/2020,إجاص,2.0,6.0,Feuil1
2019/2020,تين,3.0,4.2,Feuil1
2020/2021,قوارص,3.0,28.4,Feuil1
2020/2021,لوز جاف,258.0,804.0,Feuil1
2020/2021,خوخ,26.5,388.0,Feuil1
2020/2021,تفاح,5.5,28.0,Feuil1
2020/2021,إجاص,2.0,7.0,Feuil1
2020/2021,تين,3.0,6.0,Feuil1
2021/2022,قوارص,3.0,29.0,Feuil1
2021/2022,لوز جاف,258.0,952.0,Feuil1
2021/2022,خوخ,26.5,357.0,Feuil1
2021/2022,تفاح,5.5,57.0,Feuil1
2021/2022,إجاص,2.0,11.0,Feuil1
2021/2022,تين,3.0,9.0,Feuil1
2022/2023,قوارص,3.0,28.0,Feuil1
2022/2023,مشمش,0.5,3.0,Feuil1
2022/2023,لوز جاف,200.0,710.0,Feuil1
2022/2023,خوخ,14.0,95.6,Feuil1
2022/2023,الفستق,8.5,18.0,Feuil1
2022/2023,تفاح,0.0,0.0,Feuil1
2022/2023,إجاص,2.0,10.0,Feuil1
2022/2023,تين,3.0,9.0,Feuil1
