delegation,type_unite,main_d_œuvre_en_personne,feuille
جرجيس,مراكب صيد ساحلي مجهزة بمحرك,1280,Feuil1
جرجيس,مراكب صيد ساحلي بدون  بمحرك,1348,Feuil1
جرجيس,مراكب صيد بالشنشول ( شباك دائرة),56,Feuil1
جرجيس,وحدات صيد بالجر,51,Feuil1
جرجيس,وحدات صيد السمك الأزرق,342,Feuil1
جرجيس,وحدات صيد التن,68,Feuil1
جرجيس,تربية اسماك,45,Feuil1
جرجيس,الصيد على الأقدام,0,Feuil1
حومة السوق,مراكب صيد ساحلي مجهزة بمحرك,428,Feuil1
حومة السوق,مراكب صيد ساحلي بدون  بمحرك,1200,Feuil1
حومة السوق,مراكب صيد بالشنشول ( شباك دائرة),14,Feuil1
آجيــم,مراكب صيد ساحلي مجهزة بمحرك,320,Feuil1
آجيــم,مراكب صيد ساحلي بدون  بمحرك,544,Feuil1
آجيــم,وحدات صيد السمك الأزرق,0,Feuil1
آجيــم,الصيد على الأقدام,0,Feuil1
حاسي جلابة,مراكب صيد ساحلي مجهزة بمحرك,132,Feuil1
حاسي جلابة,مراكب صيد ساحلي بدون  بمحرك,150,Feuil1
بوغرارة,مراكب صيد ساحلي مجهزة بمحرك,360,Feuil1
بوغرارة,مراكب صيد ساحلي بدون  بمحرك,170,Feuil1
بوغرارة,تربية اسماك,17,Feuil1
القرين,مراكب صيد ساحلي مجهزة بمحرك,160,Feuil1
القرين,مراكب صيد ساحلي بدون  بمحرك,134,Feuil1
القرين,الصيد على الأقدام,0,Feuil1
أغير,مراكب صيد ساحلي مجهزة بمحرك,20,Feuil1
أغير,مراكب صيد ساحلي بدون  بمحرك,400,Feuil1
الكتف,مراكب صيد ساحلي مجهزة بمحرك,240,Feuil1
الكتف,مراكب صيد ساحلي بدون  بمحرك,160,Feuil1
