nbr_declaration,investissement_decalre,mois,gouvernorat,delegation,feuille
1,60240.0,جانفي,بنزرت,راس الجبل,SQL Results
8,2220978.0,جانفي,قفصة,سيدي عيش,SQL Results
3,2303807.0,فيفري,سوسة,بوفيشة,SQL Results
5,1323102.0,أفريل,سيدي بوزيد,أولاد حفوز,SQL Results
8,1335637.0,فيفري,القصرين,فريانة,SQL Results
1,180000.0,فيفري,صفاقس,جبنيانة,SQL Results
1,169500.0,فيفري,سوسة,النفيضة,SQL Results
3,444112.0,ماي,سليانة,الكريب,SQL Results
5,2228894.0,أفريل,منــوبة,برج العامري,SQL Results
1,500000.0,مارس,بنزرت,منزل جميل,SQL Results
4,793157.0,فيفري,سليانة,برقو,SQL Results
3,111504.0,ماي,نابل,قليبية,SQL Results
4,356950.0,أفريل,بنزرت,سجنان,SQL Results
1,180000.0,فيفري,سليانة,سليانة الشما لية,SQL Results
6,451506.0,فيفري,صفاقس,بئر علي بن خليفة,SQL Results
1,160000.0,ماي,المنستير,البقا لطة,SQL Results
4,1947125.0,أفريل,نابل,منزل تميم,SQL Results
5,2056300.0,فيفري,زغوان,بئر مشارقة,SQL Results
3,163000.0,مارس,المنستير,زرمدين,SQL Results
5,395000.0,مارس,المنستير,طبلبة,SQL Results
5,1963550.0,فيفري,بنزرت,ماطر,SQL Results
1,96857.0,جانفي,قفصة,زانوش,SQL Results
8,3104031.0,جانفي,بنزرت,أوتيك,SQL Results
12,923397.0,جانفي,قفصة,قفصة الشما لية,SQL Results
3,273000.0,ماي,نابل,الميدة,SQL Results
10,1382029.0,فيفري,قفصة,سيدي عيش,SQL Results
3,487575.0,ماي,بنزرت,الغزالة,SQL Results
2,109000.0,ماي,بن عروس,المحمدية,SQL Results
3,211000.0,أفريل,سوسة,سيدي الهاني,SQL Results
4,219795.0,فيفري,نابل,بني خيار,SQL Results
3,259000.0,جانفي,سوسة,القلعة الكبرى,SQL Results
4,1965531.0,مارس,سليانة,بوعرادة,SQL Results
2,43779.0,أفريل,نابل,قليبية,SQL Results
4,452166.0,أفريل,بنزرت,غار الملح,SQL Results
2,694047.0,أفريل,بنزرت,راس الجبل,SQL Results
4,452300.0,أفريل,سليانة,قعفور,SQL Results
1,20559.0,مارس,سوسة,هرقلة,SQL Results
1,25000.0,جانفي,سوسة,بوفيشة,SQL Results
2,199800.0,أفريل,بنزرت,ماطر,SQL Results
2,185000.0,فيفري,المنستير,بني حسان,SQL Results
1,4902.0,جانفي,سليانة,مكثر,SQL Results
1,1000000.0,مارس,منــوبة,منوبة,SQL Results
3,270287.0,ماي,صفاقس,منزل شاكر,SQL Results
3,80097.0,جانفي,المنستير,البقا لطة,SQL Results
1,110912.0,أفريل,قفصة,أم  العرائس,SQL Results
1,1074000.0,جانفي,الكاف,الجريصة,SQL Results
4,120921.0,فيفري,صفاقس,المحرس,SQL Results
1,44000.0,ماي,صفاقس,الغريبة,SQL Results
1,47000.0,ماي,المنستير,الساحلين,SQL Results
1,125391.0,جانفي,صفاقس,ساقية الزيت,SQL Results
3,1335419.0,مارس,نابل,بني خلاد,SQL Results
5,713000.0,أفريل,المهدية,السواسي,SQL Results
1,165000.0,جانفي,سليانة,كسرى,SQL Results
1,771250.0,جانفي,سليانة,سليانة الجنوبية,SQL Results
1,95500.0,جانفي,صفاقس,الغريبة,SQL Results
