annee,type,quantite_en_quintaux,feuille
2018,ble dur,333120,Feuil2
2018,ble tendre,167200,Feuil2
2018,orge,174700,Feuil2
2018,triticale,5000,Feuil2
2018,autres céréales,3500,Feuil2
2019,ble dur,390900,Feuil2
2019,ble tendre,181200,Feuil2
2019,orge,191550,Feuil2
2019,triticale,6820,Feuil2
2019,autres céréales,4400,Feuil2
2020,ble dur,363600,Feuil2
2020,ble tendre,155800,Feuil2
2020,orge,165600,Feuil2
2020,triticale,4400,Feuil2
2020,autres céréales,4000,Feuil2
2021,ble dur,395000,Feuil2
2021,ble tendre,205000,Feuil2
2021,orge,200000,Feuil2
2021,triticale,2300,Feuil2
2021,autres céréales,4500,Feuil2
2022,ble dur,374270,Feuil2
2022,ble tendre,184750,Feuil2
2022,orge,161750,Feuil2
2022,triticale,1500,Feuil2
2022,autres céréales,3000,Feuil2
