annee,delegation,quantite_du_lait_collectee,nombre_des_centres_de_collecte,feuille
2010,Jendouba,27140091.0,,lait
2010,Jendouba Nord,,,lait
2010,bousalem,20237443.0,,lait
2010,Baltabouauen,15988971.0,,lait
2010,Tabarka,,,lait
2010,Aïn Draham,,,lait
2010,Fernana,1070962.0,,lait
2010,Ghardimaou,,,lait
2010,Oued Mliz,,,lait
2011,Jendouba,31791153.0,,lait
2011,Jendouba Nord,,,lait
2011,bousalem,17868959.0,,lait
2011,Baltabouauen,11955292.0,,lait
2011,Tabarka,,,lait
2011,Aïn Draham,,,lait
2011,Fernana,1343857.0,,lait
2011,Ghardimaou,,,lait
2011,Oued Mliz,,,lait
2012,Jendouba,37579695.0,,lait
2012,Jendouba Nord,,,lait
2012,bousalem,17740864.0,,lait
2012,Baltabouauen,11545961.0,,lait
2012,Tabarka,,,lait
2012,Aïn Draham,,,lait
2012,Fernana,2654869.0,,lait
2012,Ghardimaou,,,lait
2012,Oued Mliz,,,lait
2013,Jendouba,40610941.0,,lait
2013,Jendouba Nord,1046614.0,,lait
2013,bousalem,19365871.0,,lait
2013,Baltabouauen,12407214.0,,lait
2013,Tabarka,,,lait
2013,Aïn Draham,,,lait
2013,Fernana,3001925.0,,lait
2013,Ghardimaou,,,lait
2013,Oued Mliz,,,lait
2014,Jendouba,42185638.0,,lait
2014,Jendouba Nord,3803368.0,,lait
2014,bousalem,23353714.0,,lait
2014,Baltabouauen,14254888.0,,lait
2014,Tabarka,,,lait
2014,Aïn Draham,,,lait
2014,Fernana,3455811.0,,lait
2014,Ghardimaou,,,lait
2014,Oued Mliz,,,lait
2015,Jendouba,47400002.0,8,lait
2015,Jendouba Nord,4273480.0,1,lait
2015,bousalem,26240326.0,8,lait
2015,Baltabouauen,16016849.0,5,lait
2015,Tabarka,,,lait
2015,Aïn Draham,,,lait
2015,Fernana,3882963.0,1,lait
2015,Ghardimaou,,1,lait
2015,Oued Mliz,,1,lait
2016,Jendouba,41647330.0,,lait
2016,Jendouba Nord,2643650.0,,lait
2016,bousalem,31236567.0,,lait
2016,Baltabouauen,14747830.0,,lait
2016,Tabarka,,,lait
2016,Aïn Draham,,,lait
2016,Fernana,3925179.0,,lait
2016,Ghardimaou,,,lait
2016,Oued Mliz,,,lait
2017,Jendouba,49423696.0,,lait
2017,Jendouba Nord,2442713.0,,lait
2017,bousalem,34863578.0,,lait
2017,Baltabouauen,19952307.0,,lait
2017,Tabarka,,,lait
2017,Aïn Draham,,,lait
2017,Fernana,5058989.0,,lait
2017,Ghardimaou,,,lait
2017,Oued Mliz,,,lait
2018,Jendouba,50858096.0,,lait
2018,Jendouba Nord,2410304.0,,lait
2018,bousalem,34210844.0,,lait
2018,Baltabouauen,16651114.0,,lait
2018,Tabarka,0.0,,lait
2018,Aïn Draham,0.0,,lait
2018,Fernana,5852766.0,,lait
2018,Ghardimaou,0.0,,lait
2018,Oued Mliz,0.0,,lait
2019,Jendouba,56681507.0,,lait
2019,Jendouba Nord,,,lait
2019,bousalem,38830370.0,,lait
2019,Baltabouauen,15375850.0,,lait
2019,Tabarka,0.0,,lait
2019,Aïn Draham,0.0,,lait
2019,Fernana,6726547.0,,lait
2019,Ghardimaou,0.0,,lait
2019,Oued Mliz,0.0,,lait
2020,Jendouba,48291675.0,,lait
2020,Jendouba Nord,4779706.0,,lait
2020,bousalem,39005486.0,,lait
2020,Baltabouauen,16377133.0,,lait
2020,Tabarka,0.0,,lait
2020,Aïn Draham,0.0,,lait
2020,Fernana,7260822.0,,lait
2020,Ghardimaou,4805079.0,,lait
2020,Oued Mliz,262711.0,,lait
2021,Jendouba,43136443.0,,lait
2021,Jendouba Nord,4334287.0,,lait
2021,bousalem,39063107.0,,lait
2021,Baltabouauen,14581618.0,,lait
2021,Tabarka,0.0,,lait
2021,Aïn Draham,0.0,,lait
2021,Fernana,7278027.0,,lait
2021,Ghardimaou,6008442.0,,lait
2021,Oued Mliz,3170001.0,,lait
2022,Jendouba,37865208.0,,lait
2022,Jendouba Nord,3582672.0,,lait
2022,bousalem,34106617.0,,lait
2022,Baltabouauen,13391030.0,,lait
2022,Tabarka,3255479.0,,lait
2022,Aïn Draham,0.0,,lait
2022,Fernana,6338439.0,,lait
2022,Ghardimaou,6402239.0,,lait
2022,Oued Mliz,5787649.0,,lait
2023,Jendouba,40814038.0,8,lait
2023,Jendouba Nord,3700216.0,1,lait
2023,bousalem,36563976.0,9,lait
2023,Baltabouauen,14164018.0,5,lait
2023,Tabarka,3079788.0,1,lait
2023,Aïn Draham,0.0,,lait
2023,Fernana,6792053.0,1,lait
2023,Ghardimaou,6021437.0,1,lait
2023,Oued Mliz,4638096.0,1,lait
2024,Jendouba,41729146.0,8,lait
2024,Jendouba Nord,3905435.0,1,lait
2024,bousalem,37910526.0,9,lait
2024,Baltabouauen,14678789.0,5,lait
2024,Tabarka,2402102.0,1,lait
2024,Aïn Draham,0.0,,lait
2024,Fernana,7484748.0,1,lait
2024,Ghardimaou,6406051.0,1,lait
2024,Oued Mliz,4171631.0,1,lait
