annee,type_dusage,quantite_deau_facturee_million_m3,feuille
2014,Eau Potable,306.99079,Feuil1
2014,Eau d'Irrigation,166.721076,Feuil1
2014,Recharge de la nappe,1.551736,Feuil1
2015,Eau Potable,324.855317,Feuil1
2015,Eau d'Irrigation,169.056087,Feuil1
2015,Recharge de la nappe,2.29142,Feuil1
2016,Eau Potable,336.590158,Feuil1
2016,Eau d'Irrigation,143.396079,Feuil1
2016,Recharge de la nappe,1.965867,Feuil1
2017,Eau Potable,343.591945,Feuil1
2017,Eau d'Irrigation,62.77975,Feuil1
2017,Recharge de la nappe,0.000255,Feuil1
2018,Eau Potable,351.962326,Feuil1
2018,Eau d'Irrigation,48.319125,Feuil1
2018,Recharge de la nappe,0.481038,Feuil1
2019,Eau Potable,358.391483,Feuil1
2019,Eau d'Irrigation,84.048958,Feuil1
2019,Recharge de la nappe,2.814628,Feuil1
2020,Eau Potable,371.970176,Feuil1
2020,Eau d'Irrigation,104.715139,Feuil1
2020,Recharge de la nappe,1.81325,Feuil1
2021,Eau Potable,389.260862,Feuil1
2021,Eau d'Irrigation,76.468562,Feuil1
2021,Recharge de la nappe,0.986967,Feuil1
2022,Eau Potable,406.137725,Feuil1
2022,Eau d'Irrigation,50.02841,Feuil1
2022,Recharge de la nappe,0.031149,Feuil1
2023,Eau Potable,379.693381,Feuil1
2023,Eau d'Irrigation,23.123825,Feuil1
2023,Recharge de la nappe,0.0,Feuil1
2024,Eau Potable,406.8,Feuil1
2024,Eau d'Irrigation,12.7,Feuil1
2024,Recharge de la nappe,0.0,Feuil1
