annee,elements,unite,realisations,remarques,feuille
2023,مجموع المخالفات الغابية المسجلة على اختلاف أنواعها,عدد,10,تم الصلح بالنسبة ل08 مخالفات,Feuil1
2023,مقدار الأموال المستخلصة بموجب الصلح,دينار,2830,,Feuil1
2023,مخالفات النقل,عدد,1,,Feuil1
2023,مخالفات تكسير الغابات,عدد,2,,Feuil1
2023,مساحة الغابات الواقع تكسيرها,هك,4,,Feuil1
2023,مخالفات الصيد,عدد,5,,Feuil1
2023,مخالفات استخراج المواد,عدد,2,,Feuil1
2024,مجموع المخالفات الغابية المسجلة على اختلاف أنواعها,عدد,19,تم الصلح بالنسبة ل09 مخالفات,Feuil1
2024,مقدار الأموال المستخلصة بموجب الصلح,دينار,2250,,Feuil1
2024,مخالفات النقل,عدد,0,,Feuil1
2024,مخالفات الرعي,عدد,5,,Feuil1
2024,مخالفات تكسير الغابات,عدد,1,,Feuil1
2024,مساحة الغابات الواقع تكسيرها,هك,5,,Feuil1
2024,مخالفات الصيد,عدد,8,,Feuil1
2024,مخالفات أخرى (تفحيم بدون رخصة),عدد,5,,Feuil1
2024,مخالفات استخراج المواد,عدد,0,,Feuil1
