annee,delegation,parcours_et_forets_ha,terres_agricoles_utiles_ha,terres_non_labourables_ha,superficie_totale_ha,feuille
2023,Ben Arous,50.0,,640,690,Feuil2
2023,Médina Jedida,,50.0,810,860,Feuil2
2023,Mourouj,45.0,,1180,1225,Feuil2
2023,Hammam-Lif,1900.0,,230,2130,Feuil2
2023,Hammam-Chott,1000.0,400.0,700,2100,Feuil2
2023,Bou Mhel,790.0,1000.0,500,2290,Feuil2
2023,Ezzahra,,,530,530,Feuil2
2023,Rades,200.0,,1620,1820,Feuil2
2023,Megrine,,,950,950,Feuil2
2023,M'hamdia,300.0,10500.0,1020,11820,Feuil2
2023,Fouchana,15.0,4150.0,1590,5755,Feuil2
2023,Mornag,15700.0,19900.0,1230,36830,Feuil2
2024,Ben Arous,50.0,,640,690,Feuil2
2024,Médina Jedida,,50.0,810,860,Feuil2
2024,Mourouj,45.0,,1180,1225,Feuil2
2024,Hammam-Lif,1900.0,,230,2130,Feuil2
2024,Hammam-Chott,1000.0,400.0,700,2100,Feuil2
2024,Bou Mhel,790.0,1000.0,500,2290,Feuil2
2024,Ezzahra,,,530,530,Feuil2
2024,Rades,200.0,,1620,1820,Feuil2
2024,Megrine,,,950,950,Feuil2
2024,M'hamdia,300.0,10500.0,1020,11820,Feuil2
2024,Fouchana,15.0,4150.0,1590,5755,Feuil2
2024,Mornag,15700.0,19900.0,1230,36830,Feuil2
2025,Ben Arous,50.0,,640,690,Feuil2
2025,Médina Jedida,,50.0,810,860,Feuil2
2025,Mourouj,45.0,,1180,1225,Feuil2
2025,Hammam-Lif,1900.0,400.0,230,2130,Feuil2
2025,Hammam-Chott,1000.0,1000.0,700,2100,Feuil2
2025,Bou Mhel,790.0,,500,2290,Feuil2
2025,Ezzahra,,,530,530,Feuil2
2025,Rades,200.0,,1620,1820,Feuil2
2025,Megrine,,,950,950,Feuil2
2025,M'hamdia,300.0,10500.0,1020,11820,Feuil2
2025,Fouchana,15.0,4150.0,1590,5755,Feuil2
2025,Mornag,15700.0,19900.0,1230,36830,Feuil2
