annee_2020,unnamed_1,unnamed_2
Espece,,
Raie,80.0,840.0
Anguille,44791.0,1285748.0
Aiguillette,788.0,14727.0
Merlu,2982.0,28645.0
Baudroie,1020.0,11553.0
Loups,413898.0,7855919.0
Merous,270.0,8478.0
Daurades,2185742.0,33527250.0
Divers,270786.0,3316752.0
Saurel,7028.0,9939.0
Sardine,1598262.0,11990364.0
Sardinelle,120897.0,556298.0
Anchois,1534175.0,42640177.0
Maquereau,132445.0,3017184.0
Bonite,148513.0,3393847.0
Thon rouge,3711951.0,111415833.0
Espadon,943.0,23845.0
Langoustine,12281.0,816003.0
Langouste,4596.0,644016.0
Crabe,3806549.0,38760778.0
Huitre,12808.0,436853.0
Clovisse,1600.0,72714.0
Calamar,5448.0,153144.0
Poulpe,1133980.0,26175037.0
Seiche,521511.0,9935004.0
Corail,796.0,554097.0
Eponge,6808.0,2584076.0
Crevette,2700694.0,103045998.0
Thons,1974794.0,30324316.0
autres,1429461.0,32419274.0
Carpe,20.0,910.0
Autres mollusques,43317.0,845284.0
Autres poissons congel?s,4541.0,130375.0
Autres thons,590.0,17686.0
Autres conserves-semi conserves,240353.0,2227209.0
Autres crustac?s,60.0,3359.0
Autres poissons d'eau douce,16430.0,407458.0
Rouget de mer,16489.0,124410.0
Maquereaux frais,1128.0,12181.0
Thons congel?s,25.0,84.0
Autres poissons frais,1556505.0,17448979.0
TOTAUX,23665355.0,486236644.0
