nbr_projets,inv_approuve,prime_approuvee,nbr_emploi,gouv_ar,gouv_fr,delegation_ar,delegation_fr,secteur_act_ar,secteur_act_ar_1,mois_ar,mois_fr,annee_doa,feuille
2,150179,73590.0,2,قفصة,GAFSA,سيدي عيش,SIDI ICH,الفلاحي,AGRICULTURE,نوفمبر,nov.,2017,SQL Results
3,191000,94007.0,3,القيروان,KAIROUAN,الشبيكة,CHBIKA,الفلاحي,AGRICULTURE,أكتوبر,oct.,2017,SQL Results
5,441823,154515.0,6,زغوان,ZAGHOUANE,الفحص,FAHS,الفلاحي,AGRICULTURE,ديسمبر,déc.,2017,SQL Results
12,644869,314157.0,12,القصرين,KASSERINE,ماجل با لعباس,MAJEL BELABBES,الفلاحي,AGRICULTURE,سبتمبر,sept.,2017,SQL Results
1,56000,13000.0,2,بنزرت,BIZERTE,منزل جميل,MANZEL JMIL,تربية الأحياء المائية,AQUACULTURE,ديسمبر,déc.,2017,SQL Results
3,314000,157958.0,3,القيروان,KAIROUAN,سيدي عمر بوحجلة,SIDI OMOR BOUHAJLA,الفلاحي,AGRICULTURE,أكتوبر,oct.,2017,SQL Results
2,102298,12920.0,2,مدنين,MEDENINE,جرجيس,JERJIS,الخدمات,SERVICE,سبتمبر,sept.,2017,SQL Results
7,358236,141140.0,7,سيدي بوزيد,SIDI BOUZIDE,سيدي بوزيد الغربية,SIDI BOUZID OUST,الفلاحي,AGRICULTURE,سبتمبر,sept.,2017,SQL Results
1,55500,18483.0,1,القصرين,KASSERINE,فريانة,FERYANA,الخدمات,SERVICE,فيفري,févr.,2018,SQL Results
9,787915,364272.0,10,مدنين,MEDENINE,مدنين الجنوبية,MEDNIN SUD,الفلاحي,AGRICULTURE,فيفري,févr.,2018,SQL Results
9,605100,109465.0,16,المنستير,MOUNASTIR,طبلبة,TBOLBA,الصيد البحري,PECHE,مارس,mars,2018,SQL Results
3,48000,15624.0,3,القيروان,KAIROUAN,الوسلاتية,WESLATIYA,الفلاحي,AGRICULTURE,ديسمبر,déc.,2017,SQL Results
5,715000,291118.0,8,بنزرت,BIZERTE,أوتيك,UTIK,الفلاحي,AGRICULTURE,سبتمبر,sept.,2017,SQL Results
1,64009,21306.0,2,الكاف,KEF,الطويرف,Touiref,الخدمات,SERVICE,أكتوبر,oct.,2017,SQL Results
1,61000,30657.0,3,بنزرت,BIZERTE,غار الملح,GAR EL MELH,الفلاحي,AGRICULTURE,ديسمبر,déc.,2017,SQL Results
2,41465,20733.0,2,الكاف,KEF,الطويرف,Touiref,الفلاحي,AGRICULTURE,مارس,mars,2018,SQL Results
4,301808,131413.0,5,سيدي بوزيد,SIDI BOUZIDE,سيدي علي بن عون,SIDI ALI BEN OUN,الفلاحي,AGRICULTURE,أفريل,avr.,2018,SQL Results
1,55200,18400.0,2,قفصة,GAFSA,أم  العرائس,OM ELARAYES,الخدمات,SERVICE,أفريل,avr.,2018,SQL Results
2,181000,59309.0,2,القيروان,KAIROUAN,الشراردة,CHRARDA,الخدمات,SERVICE,أفريل,avr.,2018,SQL Results
5,325223,158248.0,5,باجة,BEJA,باجة الشما لية,BEJANORD,الفلاحي,AGRICULTURE,ديسمبر,déc.,2017,SQL Results
2,133267,56950.0,2,سليانة,SILIANA,مكثر,MAKTHER,الفلاحي,AGRICULTURE,فيفري,févr.,2018,SQL Results
3,184529,101492.0,3,مدنين,MEDENINE,مدنين الشما لية,MEDNI NORD,الفلاحي,AGRICULTURE,فيفري,févr.,2018,SQL Results
3,223000,106692.0,3,القيروان,KAIROUAN,القيروان الجنوبية,KAIROUAN SUD,الفلاحي,AGRICULTURE,مارس,mars,2018,SQL Results
3,480440,190127.0,6,بنزرت,BIZERTE,غار الملح,GAR EL MELH,الفلاحي,AGRICULTURE,مارس,mars,2018,SQL Results
2,243675,96701.0,3,سيدي بوزيد,SIDI BOUZIDE,سبا لة أولاد عسكر,SEBELET AWLED ASKAR,الفلاحي,AGRICULTURE,أفريل,avr.,2018,SQL Results
9,1081873,298634.0,14,القصرين,KASSERINE,القصرين الجنوبية,KASSERINE SUD,الفلاحي,AGRICULTURE,أفريل,avr.,2018,SQL Results
3,268530,89510.0,3,قبلي,KEBELLI,دوز الجنوبية,DOUZ SUD,الخدمات,SERVICE,نوفمبر,nov.,2018,SQL Results
