annee,delegation,bovin,ovin,caprin,chamaux,volaille,feuille
2022,Tataouine nord,13.0,542,156,112.0,19.0,Feuil1
2022,Tataouine sud,,262,83,23.0,,Feuil1
2022,Smar,54.0,136,44,10.5,,Feuil1
2022,Beni mhira,,266,87,72.0,,Feuil1
2022,Remada,,161,82,9.8,,Feuil1
2022,Dehiba,2.0,64,20,29.0,,Feuil1
2022,Bir lahmer,,57,18,0.2,22.0,Feuil1
2022,Ghomarassen,1.0,92,30,3.5,29.0,Feuil1
2022,Totale,70.0,1580,520,236.0,70.0,Feuil1
