annee,delegation,bovin,caprin,feuille
2022,Tataouine nord,170.0,274,Feuil1
2022,Tataouine sud,,133,Feuil1
2022,Smar,690.0,68,Feuil1
2022,Beni mhira,,135,Feuil1
2022,Remada,,82,Feuil1
2022,Dehiba,26.0,32,Feuil1
2022,Bir lahmer,,29,Feuil1
2022,Ghomarassen,14.0,47,Feuil1
2022,Totale,900.0,800,Feuil1
