delegation,jeune_plantation,plantation_en_production,vieille_plantation,superficie_cultivee_en_hectare,nb_oliviers_en_production,production_olive_en_tonne,production_huile_en_tonne,feuille
جرجيس,98000,1130000,103000,65490,505000,30250,6050,Feuil1
بنقردان,94000,930000,80000,54345,25000,750,150,Feuil1
سيدي مخلوف,53000,457500,10000,24605,205000,5750,1150,Feuil1
مدنين الشمالية,62500,149500,3000,10350,80000,2500,500,Feuil1
مدنين الجنوبية,90000,277000,10000,15770,215000,8500,1700,Feuil1
بني خداش,88500,204000,10000,14865,27500,600,120,Feuil1
آجيم,15500,111000,167500,5870,75500,1525,305,Feuil1
حومة السوق,21000,137500,125000,5620,102500,2625,525,Feuil1
ميدون,30000,100500,142500,5135,90000,2500,500,Feuil1
