annee,export_valeur_millions_dt,feuille
2019,25.7,Feuil1
2020,23.9,Feuil1
2021,35.5,Feuil1
2022,32.4,Feuil1
2023,25.4,Feuil1
2024,29.4,Feuil1
2025,33.8,Feuil1
