الولاية_gouvernorat,قمح_صلب_ble_dur,قمح_لين_ble_tendre,شعير_orge,تريتيكال_triticale,اخرى_autres,feuille
تونس,50.0,20.0,,,,Feuil1
أريانة,,,,,200.0,Feuil1
منوبة,,,,,,Feuil1
بن عروس,200.0,50.0,50.0,100.0,,Feuil1
نابل,530.0,140.0,110.0,,,Feuil1
بنزرت,,,,,,Feuil1
باجة,1930.0,140.0,20.0,,,Feuil1
جندوبة,17770.0,570.0,810.0,320.0,290.0,Feuil1
الكاف,470.0,80.0,2510.0,,,Feuil1
سليانة,1070.0,,390.0,,,Feuil1
زغوان,350.0,,140.0,,,Feuil1
سوسة,470.0,30.0,400.0,,,Feuil1
المنستير,,,,,,Feuil1
المهدية,,,,,,Feuil1
صفاقس,10.0,,50.0,,10.0,Feuil1
القيروان,13640.0,120.0,7960.0,70.0,,Feuil1
القصرين,1120.0,,2380.0,,,Feuil1
سيدي بوزيد,3420.0,,2080.0,,,Feuil1
قفصة,,40.0,,,,Feuil1
قابس,60.0,,,,,Feuil1
مدنين,20.0,,300.0,,,Feuil1
توزر,,,,,,Feuil1
قبلي,,,,,,Feuil1
تطاوين,,,100.0,,,Feuil1
