delegation,nombre_de_groupements_eau_potable,nombre_de_beneficiaires_eau_potable,nombre_de_groupements_irrigation,superficie_irrigation,nombre_de_beneficiaires_irrigation,nombre_total_de_groupements,nombre_total_de_beneficiaires,feuille
Béja Nord,21,17069,2,194,73,23,17142,Feuil1
Béja sud,12,6060,6,2709,571,18,6631,Feuil1
Medjez,8,3939,1,340,18,9,3957,Feuil1
Goubellat,8,7994,2,3062,466,10,8460,Feuil1
Testour,9,5626,6,2237,405,15,6031,Feuil1
Teboursouk,8,5782,2,130,15,10,5797,Feuil1
Thibar,1,911,4,1192,1045,5,1956,Feuil1
Amdoun,14,12257,2,180,97,16,12354,Feuil1
Nefza,21,27085,6,2696,3023,27,30108,Feuil1
Gouvernorat,102,86723,31,12740,5713,133,92436,Feuil1
