annee,delegation,nom_lac_ou_barrage,nature_ouvrage,zone,annee_construction,capacite_stockage_m3,quantite_remplie_m3,feuille
2024,بئر علي,واد الزيتون,بحيرة جبلية,الشعال,2022,75000,0,Feuil1
2024,الصخيرة,مغذية1,بحيرة جبلية,المغذية,1998,50000,20000,Feuil1
2024,الصخيرة,مغذية2,بحيرة جبلية,المغذية,2000,50000,20000,Feuil1
2024,منزل شاكر,العقاير1,بحيرة جبلية,العقاير,2009,150000,10000,Feuil1
2024,منزل شاكر,العقاير2,بحيرة جبلية,العقاير,2022,65000,10000,Feuil1
2024,صفاقس الغربية,قبرش,بحيرة جبلية,قبرش,2001,200000,50000,Feuil1
2024,الحنشة,بئر الشعبة,بحيرة جبلية,بئر الشعبة,2003,110000,0,Feuil1
2024,المحرس,الجبس,بحيرة جبلية,الشفار,2009,180000,100000,Feuil1
2024,صفاقس الجنوبية,سيدي عبد الكافي,بحيرة جبلية,سيدي عبد الكافي,2009,120000,50000,Feuil1
2024,المحرس,الشفار,سد تلي,الشفار,2015,2700000,200000,Feuil1
2024,صفاقس الجنوبية,سيدي صالح,سد تلي,سيدي عبد الكافي,2015,912000,500000,Feuil1
