المعتمدية,لحوم_حمراء_طن,لحوم_بيضاء_طن,حليبالف_لتر,عسلطن,بيضم_بيضة,صوفطن,feuille
بوزيد الغربية,1340,100,25080.0,8.3,0.0,42.0,Feuil1
بوزيد الشرقية,1250,3200,24024.0,6.113,4.9,37.5,Feuil1
المكناسي,400,25,594.0,9.1,0.0,35.25,Feuil1
الرقاب,1250,1750,12509.0,6.013,28.0,55.5,Feuil1
السعيدة,550,2800,7040.0,1.9,15.8,24.75,Feuil1
جلمة,2290,140,6820.0,3.517,0.0,75.0,Feuil1
بن عون,1045,220,13200.0,3.21,3.0,23.25,Feuil1
المزونة,430,30,30.8,3.5,0.0,53.25,Feuil1
السبالة,273,40,66.0,2.315,4.3,21.0,Feuil1
أولاد حفوز,404,2300,44.0,2.4,25.0,51.0,Feuil1
بئر الحفي,1035,370,9680.0,3.105,0.0,22.5,Feuil1
منزل بوزيان,390,35,132.0,4.8,0.0,28.5,Feuil1
السوق الجديد,1180,40,10780.0,3.0,0.0,52.5,Feuil1
الجملة,11837,11050,110000.0,57.0,81.0,522.0,Feuil1
