delegation,cooperative,zone_dintervention,nombre_daffilies,les_activites,feuille
Bousalem,الفــــــــــــلاّح,بوسالم,350,جميع الخدمات الفلاحية,Feuil1
Tabarka,الصيد البحري,ميناء طبرقة,20,خدمات الصيد البحري,Feuil1
Fernana,الأمـــــــــــان,فرنانة,150,جميع الخدمات الفلاحية,Feuil1
,ابيسرفيس,فرنانة,17,تربية النحل,Feuil1
Aîn Draham,ينابيــع الخيــر,عين دراهم,66,جميع الخدمات الفلاحية,Feuil1
,ميرتيس,عين دراهم,63,جميع الخدمات الفلاحية,Feuil1
Ghardimaou,الفائجة,غارالدماء,50,جميع الخدمات الفلاحية,Feuil1
Jendouba,للاسن خمير,كامل الولاية,63,خدمات فلاحية خاصة بالمرأة الريفية,Feuil1
Total Gouvernorat,8,,779,,Feuil1
