annee,delegation,nbre_huilerie,capacite_transformation_jour_t,capacite_stockage_t,feuille
2020,Siliana  Sud,7,445,2380,Feuil1
2020,Bourouis,2,113,315,Feuil1
2020,Gaafour,2,105,60,Feuil1
2020,Bouarada,4,175,319,Feuil1
2020,Makthar,1,35,30,Feuil1
2020,Kesra,4,670,4560,Feuil1
2020,Lâroussa,2,105,80,Feuil1
2020,Rouhia,3,205,200,Feuil1
2020,krib,1,30,300,Feuil1
2020,Total,26,1883,8244,Feuil1
2021,Siliana  Sud,7,445,2380,Feuil1
2021,Bourouis,2,113,315,Feuil1
2021,Gaafour,2,105,60,Feuil1
2021,Bouarada,3,130,140,Feuil1
2021,Makthar,1,35,30,Feuil1
2021,Kesra,4,670,4560,Feuil1
2021,Lâroussa,2,105,80,Feuil1
2021,Rouhia,3,205,200,Feuil1
2021,krib,4,60,600,Feuil1
2021,Total,28,1868,8365,Feuil1
2022,Siliana  Sud,7,405,420,Feuil1
2022,Bourouis,2,113,322,Feuil1
2022,Gaafour,1,75,60,Feuil1
2022,Bouarada,2,130,170,Feuil1
2022,Makthar,1,70,70,Feuil1
2022,Kesra,3,630,4660,Feuil1
2022,Lâroussa,2,190,80,Feuil1
2022,Rouhia,3,180,114,Feuil1
2022,krib,2,150,468,Feuil1
2022,Total,23,1943,6364,Feuil1
2023,Siliana  Sud,7,425,430,Feuil1
2023,Bourouis,2,113,525,Feuil1
2023,Gaafour,1,75,60,Feuil1
2023,Bouarada,2,120,239,Feuil1
2023,Makthar,1,70,17,Feuil1
2023,Kesra,3,630,4660,Feuil1
2023,Lâroussa,2,160,80,Feuil1
2023,Rouhia,3,205,114,Feuil1
2023,krib,2,220,485,Feuil1
2023,Total,23,2018,6610,Feuil1
2024,Siliana  Sud,7,425,430,Feuil1
2024,Bourouis,2,113,525,Feuil1
2024,Gaafour,1,75,60,Feuil1
2024,Bouarada,2,120,239,Feuil1
2024,Makthar,1,70,17,Feuil1
2024,Kesra,3,630,4660,Feuil1
2024,Lâroussa,2,160,80,Feuil1
2024,Rouhia,3,205,114,Feuil1
2024,krib,2,220,485,Feuil1
2024,Total,23,2018,6610,Feuil1
