annee,entreprises,sonede,total,feuille
2002,50849,30263,81112,Feuil1
2003,45906,27308,73214,Feuil1
2004,46078,24013,70091,Feuil1
2005,48455,25227,73682,Feuil1
2006,45376,24598,69974,Feuil1
2007,55498,26068,81566,Feuil1
2008,57951,23122,81073,Feuil1
2009,54155,21542,75697,Feuil1
2010,60863,19552,80415,Feuil1
2011,64776,21752,86528,Feuil1
2012,61996,21678,83674,Feuil1
2013,67557,20766,88323,Feuil1
2014,60295,17450,77745,Feuil1
2015,66513,18290,84803,Feuil1
2016,62133,17421,79554,Feuil1
2017,74062,17711,91773,Feuil1
2018,56850,11282,68132,Feuil1
2019,38265,13360,51625,Feuil1
2020,50188,10883,61071,Feuil1
