unnamed_0,entrep,sonede,total,feuille
BIZERTE,792,128,920,2020
Ml Bourguiba,1434,149,1583,2020
JENDOUBA,2010,240,2250,2020
LE KEF,575,302,877,2020
SILIANA,16,296,312,2020
BEJA,973,409,1382,2020
NABEUL,2497,219,2716,2020
MENZEL TEMIME,1312,92,1404,2020
GROMBALIA,1431,179,1610,2020
ZAGHOUAN,1719,204,1923,2020
SOUSSE,3295,429,3724,2020
H. SOUSSE,2010,338,2348,2020
MOKNINE,1134,434,1568,2020
MONASTIR,1833,424,2257,2020
MAHDIA,1548,431,1979,2020
KAIROUAN,1857,294,2151,2020
KASSERINE,1669,20,1689,2020
SFAX,795,205,1000,2020
SFAX NORD,1543,105,1648,2020
SFAX SUD,473,282,755,2020
GAFSA,640,938,1578,2020
TOZEUR,479,61,540,2020
SIDI  BOUZID,1382,149,1531,2020
GABES,2330,0,2330,2020
KEBILI,1396,0,1396,2020
MEDENINE,2175,0,2175,2020
JERBA,1647,610,2257,2020
TATAOUINE,1150,208,1358,2020
TUNIS,311,110,421,2020
MARSA,1177,329,1506,2020
BEN  AROUS,834,1078,1912,2020
TUNIS SUD,0,428,428,2020
BARDO,1066,443,1509,2020
EL MANAR,244,0,244,2020
ARIANA,1681,772,2453,2020
EZZAHRA,1894,306,2200,2020
EL OMRANE SUP,1360,14,1374,2020
Manouba,1506,257,1763,2020
ENS.TUNISIE,50188,10883,61071,2020
