region,entreprise,sonede,total,feuille
Bizerte,1080.0,254.0,1334.0,Feuil2
M_ Bourguiba,471.0,186.0,657.0,Feuil2
Jendouba,2141.0,294.0,2435.0,Feuil2
Le Kef,275.0,297.0,572.0,Feuil2
Siliana,17.0,205.0,222.0,Feuil2
Beja,688.0,596.0,1284.0,Feuil2
Nabeul,1402.0,247.0,1649.0,Feuil2
M_Temime,1041.0,89.0,1130.0,Feuil2
Grombalia,436.0,96.0,532.0,Feuil2
Zaghouan,740.0,215.0,955.0,Feuil2
Sousse,1816.0,597.0,2413.0,Feuil2
H_ Sousse,1713.0,282.0,1995.0,Feuil2
M'saken,,,,Feuil2
Moknine,1667.0,,1667.0,Feuil2
Monastir,1543.0,708.0,2251.0,Feuil2
Mahdia,961.0,328.0,1289.0,Feuil2
Kairouan,2131.0,103.0,2234.0,Feuil2
Kasserine,1136.0,15.0,1151.0,Feuil2
Sfax,908.0,61.0,969.0,Feuil2
Sfax Nord,2902.0,118.0,3020.0,Feuil2
Sfax Sud,1242.0,365.0,1607.0,Feuil2
Gafsa,346.0,1904.0,2250.0,Feuil2
Tozeur,162.0,138.0,300.0,Feuil2
Sidi Bouzid,576.0,263.0,839.0,Feuil2
Gabes,1086.0,,1086.0,Feuil2
Kebili,843.0,,843.0,Feuil2
Medenine,1121.0,,1121.0,Feuil2
Jerba,801.0,562.0,1363.0,Feuil2
Tataouine,401.0,354.0,755.0,Feuil2
Tunis,815.0,151.0,966.0,Feuil2
La Marsa,1613.0,349.0,1962.0,Feuil2
Ben arous,1093.0,1033.0,2126.0,Feuil2
Tunis Sud,335.0,150.0,485.0,Feuil2
Bardo,881.0,472.0,1353.0,Feuil2
El Manar,122.0,245.0,367.0,Feuil2
Ariana,1084.0,2053.0,3137.0,Feuil2
Ezzahra,1135.0,236.0,1371.0,Feuil2
Manouba,771.0,7.0,778.0,Feuil2
El Omrane Supérieur,770.0,387.0,1157.0,Feuil2
Ensemble Tunisie,38265.0,13360.0,51625.0,Feuil2
