اسم_المجمع,منطقة_التدخل,تاريخ_التاسيس,عدد_المنخرطات,النشاط_الاساسي,feuille
"المجمع  النسائي للتنمية "" الأمل "" بالنفاتية",النفاتية من معتمدية شربان,42369,52,تربية دجاج الضيعة  والخزف,Feuil1
"المجمع  النسائي للتنمية "" الحراير "" بالشابة",معتمدية الشابة,43678,24,تجفيف المنتوجات الفلاحية,Feuil1
"المجمع  النسائي للتنمية "" الحرة "" بملولش",معتمدية ملولش,44076,22,تثمين صوف الأغنام وإنتاج الرب,Feuil1
"المجمع  النسائي "" الخير و البركة "" ببومرداس",معتمدية بومرداس,44126,23,العولة,Feuil1
"المجمع  النسائي للتنمية  "" الامتياز"" بسيدي علوان",معتمدية سيدي علوان,44371,18,استخراج الزيوت  وصناعة الصابون,Feuil1
المجمع  النسائي للتنمية  المقدية بالمزاهدة و الشحدة القبلية,المزاهدة والشحدة القبلية  من معتمدية شربان,44592,20,تجفيف الطماطم,Feuil1
