annee,delegation,superficie_oliviers_ha,production_olives_tonne,production_huile_dolives_tonne,superfice_amandiers_ha,production_amandes_tonne,superficie_grenadiers_ha,production_grenades_tonne,superficie_pommiers_ha,production_pommes_tonne,superficie_vignes_ha,production_vignes_tonne,superfice_figuiers_ha,production_figues_tonne,superficie_autres_ha,production_autres_tonne,feuille
2023,Médenine Nord,10715,300,65,42,117,7,12,15,25,40,120,56,30,120,150,Feuil1
2023,Médenine Sud,16225,2425,530,54,110,6,6,35,35,20,35,140,60,140,185,Feuil1
2023,Sidi Makhlouf,25165,1250,275,140,164,20,32,6,3,30,90,110,135,95,120,Feuil1
2023,Ajim,5945,325,70,4,2,5,6,7,5,180,450,45,25,45,65,Feuil1
2023,Houmet Essouk,5795,750,165,8,5,7,12,15,10,250,650,55,35,25,75,Feuil1
2023,Midoun,5305,800,175,14,46,6,8,25,20,350,618,125,55,120,162,Feuil1
2023,Zarzis,66305,23500,5400,725,490,20,45,235,105,115,150,250,145,65,115,Feuil1
2023,Ben Guerdane,55285,16500,3960,158,176,27,52,5,5,10,25,25,15,25,26,Feuil1
2023,Beni Khedech,15435,150,30,135,160,22,45,7,6,55,60,514,890,93,125,Feuil1
2023,Total,206175,46000,10670,1280,1270,120,218,350,214,1050,2198,1320,1390,728,1023,Feuil1
2024,Médenine Nord,10730,300,65,55,155,9,14,26,30,70,615,140,40,120,145,Feuil1
2024,Médenine Sud,16315,3000,640,65,185,7,10,40,35,65,250,167,85,140,165,Feuil1
2024,Sidi Makhlouf,25305,1500,330,155,145,20,30,6,1,40,27,88,55,95,120,Feuil1
2024,Ajim,5935,350,77,8,2,5,8,12,4,148,450,82,45,45,55,Feuil1
2024,Houmet Essouk,5795,800,176,10,6,10,12,30,22,202,275,86,45,25,65,Feuil1
2024,Midoun,5305,850,188,25,45,6,8,45,35,362,370,175,65,120,154,Feuil1
2024,Zarzis,66320,26750,6152,757,442,20,40,145,50,105,210,210,125,65,105,Feuil1
2024,Ben Guerdane,55355,18300,4392,165,148,27,46,7,18,6,48,16,5,24,20,Feuil1
2024,Beni Khedech,15440,150,30,127,122,26,56,40,35,85,140,350,165,92,115,Feuil1
2024,Total,206500,52000,12050,1367,1250,130,224,351,230,1083,2385,1314,630,726,944,Feuil1
