unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,feuille
,,,,,,,,,,,,,,Feuil1
,,,,,,,,,,,,,,Feuil1
,حوصلة حول إحصائيات الإستثمارات الفلاحية,,,,,,,,,,,,,Feuil1
,المتمتعة بإمتيازات مجلة تشجيع الإستثمارات,,,,,,,,,,,,,Feuil1
,إلى غاية شهر ديسمبر,,,,,,,,,,,,,Feuil1
,31 ديسمبر 2020,,,,,,,,,,,,,Feuil1
,نسبة التطور,نسبة التطور,2020,2019,2018,عمليات الإستثمار  المتمتعة,,,,,,,,Feuil1
,2020/2019,2020/2018,,,,بامتيازات مجلة تشجيع الإستثمارات,,,,,,,,Feuil1
,,,,,,,,,التصاريح بالإستثمار,,,,,Feuil1
,-0.13513513513513514,-0.8992302309307207,864,999,8574,,,,,عدد العمليات,,,,Feuil1
,-0.2708478269608054,-0.9276954222998843,107621.33899999999,147597.913,1488444.3339999998,,,,,الإستثمارات (1000 دينارا),,,,Feuil1
,,,,,,,,,,,,,,Feuil1
,,,,,,,,,الإمتيازات المالية,,,,,Feuil1
,-0.19672131147540983,-0.9057511059819195,490,610,5199,,,,,عدد العمليات,,,,Feuil1
,0.2129314609896299,-0.8983028442035501,73146.38,60305.452000000005,719256.89,,,,,الإستثمارات (1000 دينارا),,,,Feuil1
,-0.14336917562724014,-0.9281635106702735,478,558,6654,,,,,مواطن الشغل,,,,Feuil1
,,,,,,,,,القروض االعقارية,,,,,Feuil1
,-0.36363636363636365,-0.9339622641509434,7,11,106,,,,,عدد القروض,,,,Feuil1
,-0.13253818296331296,-0.9256019500074273,1101.85,1270.2,14810.2,,,,,مبلغ القروض (1000 دينارا),,,,Feuil1
,-0.25664868885995906,-0.9448249341839301,67.1496,90.3336,1217.028,,,,,مساحة  (هك),,,,Feuil1
,التطور الشهري لمجموع الإستثمارات  المصادق عليها للحصول,,,,,,,,,,,,,Feuil1
,على الإمتيازات المالية لمجلة تشجيع الإستثمارات,,,,,,,,,,,,,Feuil1
,,,,,,,,,,,الوحدة: مليون دينار,,,Feuil1
ديسمبر,نوفمبر,أكتوبر,سبتمبر,أوت,جويلية,جوان,ماي,أفريل,مارس,فيفري,جانفي,السنة,سنة,Feuil1
719.3,579.5,496.8,440.2,402.6,386.7,316.8,260.9,195.9,153.7,77.1,9.6,2018,,Feuil1
680.1,520.4,444.8,339.2,239.8,215.2,159.4,111.9,93.6,64.4,15.8,0,2019,21.153993999999997,Feuil1
506.3,378.1,334.8,253.2,210.9,189.1,162.9,93.4,93.3,70.2,55.6,6.9,2020,9.839814,Feuil1
