pepiniere,espece,qte,gouvernorat,latitude,longitude,feuille
منبت  قمرت,الصنوبر الحلبي,21103.0,تونس,36.9173042,10.2852531999999,Feuil1
منبت  قمرت,الكلتوس,1200.0,تونس,36.9173043,10.2852531999999,Feuil1
منبت  قمرت,أكاسيا سيينوفيلا,9865.0,تونس,36.9173044,10.2852531999999,Feuil1
منبت  قمرت,قطف نميلاريا,12000.0,تونس,36.9173045,10.2852531999999,Feuil1
منبت  قمرت,سرول,19519.0,تونس,36.9173046,10.2852531999999,Feuil1
منبت  قمرت,كازورينا,2000.0,تونس,36.9173047,10.2852531999999,Feuil1
منبت  قمرت,أكاسيا شوكية,18768.0,تونس,36.9173048,10.2852531999999,Feuil1
منبت  قمرت,رند,498.0,تونس,36.9173049,10.2852531999999,Feuil1
منبت  قمرت,زيتون,2.0,تونس,36.917305,10.2852531999999,Feuil1
منبت  قمرت,ابيسكيس,2345.0,تونس,36.9173051,10.2852531999999,Feuil1
منبت  قمرت,تكوما,14.0,تونس,36.9173052,10.2852531999999,Feuil1
منبت  قمرت,فيزان,200.0,تونس,36.9173053,10.2852531999999,Feuil1
منبت  قمرت,دفلة,8921.0,تونس,36.9173054,10.2852531999999,Feuil1
منبت  قمرت,فيتاكس,500.0,تونس,36.9173055,10.2852531999999,Feuil1
منبت  قمرت,ورد,5.0,تونس,36.9173056,10.2852531999999,Feuil1
منبت  قمرت,أوسترنجيا,1000.0,تونس,36.9173057,10.2852531999999,Feuil1
منبت  قمرت,جيستسيا,1400.0,تونس,36.9173058,10.2852531999999,Feuil1
منبت  قمرت,مرقريت,113.0,تونس,36.9173059,10.2852531999999,Feuil1
منبت  قمرت,يوكا,115.0,تونس,36.917306,10.2852531999999,Feuil1
منبت  قمرت,جرنيوم,600.0,تونس,36.9173061,10.2852531999999,Feuil1
منبت  قمرت,عطرشاء,7907.0,تونس,36.9173062,10.2852531999999,Feuil1
منبت  قمرت,قرنفل,48.0,تونس,36.9173063,10.2852531999999,Feuil1
منبت  قمرت,زعتر,2484.0,تونس,36.9173064,10.2852531999999,Feuil1
منبت  قمرت,قزانيا,12200.0,تونس,36.9173065,10.2852531999999,Feuil1
منبت  قمرت,بلامبقو,1124.0,تونس,36.9173066,10.2852531999999,Feuil1
منبت  قمرت,بونسيسيا,1142.0,تونس,36.9173067,10.2852531999999,Feuil1
منبت  قمرت,بوقنفيلي,5533.0,تونس,36.9173068,10.2852531999999,Feuil1
منبت  قمرت,صبار,960.0,تونس,36.9173069,10.2852531999999,Feuil1
منبت  قمرت,شيح,2200.0,تونس,36.917307,10.2852531999999,Feuil1
منبت  قمرت,ميبروم,15092.0,تونس,36.9173071,10.2852531999999,Feuil1
منبت  قمرت,الاكليل,690.0,تونس,36.9173072,10.2852531999999,Feuil1
منبت  قمرت,لنتنا,8696.0,تونس,36.9173073,10.2852531999999,Feuil1
منبت  قمرت,الصوجا,7416.0,تونس,36.9173074,10.2852531999999,Feuil1
منبت  قمرت,الخزامة,150.0,تونس,36.9173075,10.2852531999999,Feuil1
منبت  قمرت,شرببو,980.0,تونس,36.9173076,10.2852531999999,Feuil1
منبت العقبة,الصنوبر الحلبي,21600.0,تونس,36.7891144,10.100671,Feuil1
منبت العقبة,الصنوبر الثمري,1000.0,تونس,36.7891145,10.100671,Feuil1
منبت العقبة,الكلتوس,13000.0,تونس,36.7891146,10.100671,Feuil1
منبت العقبة,ذرو,460.0,تونس,36.7891147,10.100671,Feuil1
منبت العقبة,أكاسيا سيينوفيلا,33500.0,تونس,36.7891148,10.100671,Feuil1
منبت العقبة,اكاسيا سيكلوبيكس,2000.0,تونس,36.7891149,10.100671,Feuil1
منبت العقبة,قطف نميلاريا,16000.0,تونس,36.789115,10.100671,Feuil1
منبت العقبة,رتم,300.0,تونس,36.7891151,10.100671,Feuil1
منبت العقبة,سرول,71500.0,تونس,36.7891152,10.100671,Feuil1
منبت العقبة,كازورينا,28000.0,تونس,36.7891153,10.100671,Feuil1
منبت العقبة,ليسيوم,21500.0,تونس,36.7891154,10.100671,Feuil1
منبت العقبة,أكاسيا شوكية,11700.0,تونس,36.7891155,10.100671,Feuil1
منبت العقبة,خروب,1000.0,تونس,36.7891156,10.100671,Feuil1
منبت العقبة,كرم,50.0,تونس,36.7891157,10.100671,Feuil1
منبت العقبة,كبار,100.0,تونس,36.7891158,10.100671,Feuil1
منبت العقبة,ابيسكيس,3120.0,تونس,36.7891159,10.100671,Feuil1
منبت العقبة,تكوما,400.0,تونس,36.789116,10.100671,Feuil1
منبت العقبة,دفلة,3000.0,تونس,36.7891161,10.100671,Feuil1
منبت العقبة,ورد,500.0,تونس,36.7891162,10.100671,Feuil1
منبت العقبة,أبيتلون,1515.0,تونس,36.7891163,10.100671,Feuil1
منبت العقبة,جيستسيا,49.0,تونس,36.7891164,10.100671,Feuil1
منبت العقبة,اسبارقيس,85.0,تونس,36.7891165,10.100671,Feuil1
منبت العقبة,سوسي,1000.0,تونس,36.7891166,10.100671,Feuil1
منبت العقبة,مرقريت,1700.0,تونس,36.7891167,10.100671,Feuil1
منبت العقبة,يوكا,441.0,تونس,36.7891168,10.100671,Feuil1
منبت العقبة,قزانيا,1100.0,تونس,36.7891169,10.100671,Feuil1
منبت العقبة,هنديات,7569.0,تونس,36.789117,10.100671,Feuil1
منبت العقبة,بابريس,890.0,تونس,36.7891171,10.100671,Feuil1
منبت العقبة,سينترار مارتيم,1300.0,تونس,36.7891172,10.100671,Feuil1
منبت العقبة,كلستموم,3455.0,تونس,36.7891173,10.100671,Feuil1
منبت العقبة,روزداند,2000.0,تونس,36.7891174,10.100671,Feuil1
منبت العقبة,ست مريم,2000.0,تونس,36.7891175,10.100671,Feuil1
منبت العقبة,بوقنفيلي,1050.0,تونس,36.7891176,10.100671,Feuil1
منبت العقبة,ميبروم,15500.0,تونس,36.7891177,10.100671,Feuil1
منبت العقبة,ملالوكا,2225.0,تونس,36.7891178,10.100671,Feuil1
منبت العقبة,الاكليل,5000.0,تونس,36.7891179,10.100671,Feuil1
منبت العقبة,لنتنا,2650.0,تونس,36.789118,10.100671,Feuil1
منبت العقبة,الصوجا,1500.0,تونس,36.7891181,10.100671,Feuil1
منبت العقبة,الخزامة,600.0,تونس,36.7891182,10.100671,Feuil1
منبت العقبة,شرببو,6900.0,تونس,36.7891183,10.100671,Feuil1
منبت سيدي ثابت,الصنوبر الحلبي,64000.0,أريانة,36.9245069,10.0471549,Feuil1
منبت سيدي ثابت,الكلتوس,70.0,أريانة,36.924507,10.0471549,Feuil1
منبت سيدي ثابت,السنط الازرق,10900.0,أريانة,36.9245071,10.0471549,Feuil1
منبت سيدي ثابت,سرول,43000.0,أريانة,36.9245072,10.0471549,Feuil1
منبت سيدي ثابت,كازورينا,19000.0,أريانة,36.9245073,10.0471549,Feuil1
منبت سيدي ثابت,أكاسيا شوكية,6900.0,أريانة,36.9245074,10.0471549,Feuil1
منبت سيدي ثابت,خروب,464.0,أريانة,36.9245075,10.0471549,Feuil1
منبت سيدي ثابت,واشنطونيا,1200.0,أريانة,36.9245076,10.0471549,Feuil1
منبت سيدي ثابت,فيكيس كنارينسيس,30.0,أريانة,36.9245077,10.0471549,Feuil1
منبت سيدي ثابت,فيكيس نتدا,120.0,أريانة,36.9245078,10.0471549,Feuil1
منبت سيدي ثابت,ميليا,76.0,أريانة,36.9245079,10.0471549,Feuil1
منبت سيدي ثابت,تكوما,150.0,أريانة,36.924508,10.0471549,Feuil1
منبت سيدي ثابت,دفلة,100.0,أريانة,36.9245081,10.0471549,Feuil1
منبت سيدي ثابت,ورد,80.0,أريانة,36.9245082,10.0471549,Feuil1
منبت سيدي ثابت,قزانيا,400.0,أريانة,36.9245083,10.0471549,Feuil1
منبت سيدي ثابت,جيستسيا,300.0,أريانة,36.9245084,10.0471549,Feuil1
منبت سيدي ثابت,عرعار,3200.0,أريانة,36.9245085,10.0471549,Feuil1
منبت سيدي ثابت,جيرنيوم,150.0,أريانة,36.9245086,10.0471549,Feuil1
منبت سيدي ثابت,عطرشاء,1400.0,أريانة,36.9245087,10.0471549,Feuil1
منبت سيدي ثابت,تكماريا,300.0,أريانة,36.9245088,10.0471549,Feuil1
منبت سيدي ثابت,بوقنفيلي,30.0,أريانة,36.9245089,10.0471549,Feuil1
منبت  برج العامري,الصنوبر الحلبي,16000.0,منوبة,36.7118658,9.88226650000001,Feuil1
منبت  برج العامري,الكلتوس,30000.0,منوبة,36.7118659,9.88226650000001,Feuil1
منبت  برج العامري,السنط الازرق,10000.0,منوبة,36.711866,9.88226650000001,Feuil1
منبت  برج العامري,فصة شجرية,0.0,منوبة,36.7118661,9.88226650000001,Feuil1
منبت  برج العامري,سرول,73000.0,منوبة,36.7118662,9.88226650000001,Feuil1
منبت  برج العامري,كازورينا,0.0,منوبة,36.7118663,9.88226650000001,Feuil1
منبت  برج العامري,ليسيوم,40000.0,منوبة,36.7118664,9.88226650000001,Feuil1
منبت  برج العامري,خروب,1500.0,منوبة,36.7118665,9.88226650000001,Feuil1
منبت  برج العامري,ارقان,100.0,منوبة,36.7118666,9.88226650000001,Feuil1
منبت  برج العامري,توت,100.0,منوبة,36.7118667,9.88226650000001,Feuil1
منبت  برج العامري,كبار,500.0,منوبة,36.7118668,9.88226650000001,Feuil1
منبت  برج العامري,سنتلين,1200.0,منوبة,36.7118669,9.88226650000001,Feuil1
منبت  برج العامري,نخل,400.0,منوبة,36.711867,9.88226650000001,Feuil1
منبت  برج العامري,واشنطونيا,600.0,منوبة,36.7118671,9.88226650000001,Feuil1
منبت  برج العامري,فيكيس بنشي,0.0,منوبة,36.7118672,9.88226650000001,Feuil1
منبت  برج العامري,فيكيس نتدا,250.0,منوبة,36.7118673,9.88226650000001,Feuil1
منبت  برج العامري,الدوم,800.0,منوبة,36.7118674,9.88226650000001,Feuil1
