annee,delegation_fr,delegation_ar,parcours_ha,foret_ha,superficie_agricole_utile_ha,terres_incultes_ha,superficie_totale_ha,feuille
2021,Tozeur,توزر,16550.0,729,17279,,17279,Feuil1
2021,Dgueche,دقاش,39538.0,355,39893,,39893,Feuil1
2021,Tamaghza,تمغزة,65112.0,367,65479,,65479,Feuil1
2021,Nefta,نفطة,70000.0,570,70570,,70570,Feuil1
2021,Hazoua,حزوة,118800.0,330,119130,,119130,Feuil1
2021,Hammet El Djérid,حامة الجريد,,119,119,,119,Feuil1
2021,Total,المجموع,310000.0,2470,312470,,312470,Feuil1
2022,Tozeur,توزر,16550.0,729,17279,,17279,Feuil1
2022,Dgueche,دقاش,39538.0,355,39893,,39893,Feuil1
2022,Tamaghza,تمغزة,65112.0,367,65479,,65479,Feuil1
2022,Nefta,نفطة,70000.0,570,70570,,70570,Feuil1
2022,Hazoua,حزوة,118800.0,330,119130,,119130,Feuil1
2022,Hammet El Djérid,حامة الجريد,,119,119,,119,Feuil1
2022,Total,المجموع,310000.0,2470,312470,,312470,Feuil1
2023,Tozeur,توزر,16550.0,729,17279,_,17279,Feuil1
2023,Dgueche,دقاش,70000.0,570,70570,_,70570,Feuil1
2023,Tamaghza,تمغزة,39538.0,355,39893,_,39893,Feuil1
2023,Nefta,نفطة,118800.0,330,119130,_,119130,Feuil1
2023,Hazoua,حزوة,65112.0,367,65479,_,65479,Feuil1
2023,Hammet El Djérid,حامة الجريد,,119,119,_,119,Feuil1
2023,Total,المجموع,310000.0,2470,312470,_,312470,Feuil1
2024,Tozeur,توزر,16550.0,729,17279,,17279,Feuil1
2024,Dgueche,دقاش,70000.0,570,70570,,70570,Feuil1
2024,Tamaghza,تمغزة,39538.0,355,39893,,39893,Feuil1
2024,Nefta,نفطة,118800.0,330,119130,,119130,Feuil1
2024,Hazoua,حزوة,65112.0,367,65479,,65479,Feuil1
2024,Hammet El Djérid,حامة الجريد,,119,119,,119,Feuil1
2024,Total,المجموع,310000.0,2470,312470,0,312470,Feuil1
