annee,mois,activite,valeur_de_linvestissement_approuve_en_mille_dinars,feuille
2021,mars,agriculture,70875,Feuil1
2021,mars,peche,2457,Feuil1
2021,mars,acquaculture,734,Feuil1
2021,mars,services agricoles,11199,Feuil1
2021,mars,transformation primaire,2025,Feuil1
2021,avril,agriculture,92895,Feuil1
2021,avril,peche,3766,Feuil1
2021,avril,acquaculture,734,Feuil1
2021,avril,services agricoles,14825,Feuil1
2021,avril,transformation primaire,2877,Feuil1
2021,mai,agriculture,135585,Feuil1
2021,mai,peche,4956,Feuil1
2021,mai,acquaculture,734,Feuil1
2021,mai,services agricoles,20108,Feuil1
2021,mai,transformation primaire,4784,Feuil1
2021,juin,agriculture,158499,Feuil1
2021,juin,peche,13609,Feuil1
2021,juin,acquaculture,734,Feuil1
2021,juin,services agricoles,23010,Feuil1
2021,juin,transformation primaire,14353,Feuil1
2021,juillet,agriculture,193925,Feuil1
2021,juillet,peche,14427,Feuil1
2021,juillet,acquaculture,874,Feuil1
2021,juillet,services agricoles,26731,Feuil1
2021,juillet,transformation primaire,16571,Feuil1
2021,aout,agriculture,210009,Feuil1
2021,aout,peche,14777,Feuil1
2021,août,acquaculture,874,Feuil1
2021,août,services agricoles,29716,Feuil1
2021,août,transformation primaire,16902,Feuil1
2021,septembre,agriculture,242769,Feuil1
2021,septembre,peche,17551,Feuil1
2021,septembre,acquaculture,2838,Feuil1
2021,septembre,services agricoles,33216,Feuil1
2021,septembre,transformation primaire,20272,Feuil1
2021,octobre,agriculture,300833,Feuil1
2021,octobre,peche,17454,Feuil1
2021,octobre,acquaculture,2838,Feuil1
2021,octobre,services agricoles,35284,Feuil1
2021,octobre,transformation primaire,24448,Feuil1
2021,novembre,agriculture,328768,Feuil1
2021,novembre,peche,18388,Feuil1
2021,novembre,acquaculture,2838,Feuil1
2021,novembre,services agricoles,38425,Feuil1
2021,novembre,transformation primaire,26849,Feuil1
2021,decembre,agriculture,447946,Feuil1
2021,decembre,peche,26920,Feuil1
2021,décembre,acquaculture,7177,Feuil1
2021,décembre,services agricoles,61047,Feuil1
2021,décembre,transformation primaire,33830,Feuil1
2022,mars,agriculture,95046,Feuil1
2022,mars,peche,5042,Feuil1
2022,mars,acquaculture,7930,Feuil1
2022,mars,services agricoles,17835,Feuil1
2022,mars,transformation primaire,4812,Feuil1
2022,avril,agriculture,106544,Feuil1
2022,avril,peche,5201,Feuil1
2022,avril,acquaculture,3972,Feuil1
2022,avril,services agricoles,18535,Feuil1
2022,avril,transformation primaire,3644,Feuil1
2022,mai,agriculture,166178,Feuil1
2022,mai,peche,17699,Feuil1
2022,mai,acquaculture,12069,Feuil1
2022,mai,services agricoles,27519,Feuil1
2022,mai,transformation primaire,9692,Feuil1
2022,juin,agriculture,186223,Feuil1
2022,juin,peche,24633,Feuil1
2022,juin,acquaculture,13032,Feuil1
2022,juin,services agricoles,40677,Feuil1
2022,juin,transformation primaire,28221,Feuil1
2022,juillet,agriculture,216750,Feuil1
2022,juillet,peche,33911,Feuil1
2022,juillet,acquaculture,18312,Feuil1
2022,juillet,services agricoles,46740,Feuil1
2022,juillet,transformation primaire,49790,Feuil1
2022,aout,agriculture,230542,Feuil1
2022,aout,peche,33911,Feuil1
2022,août,acquaculture,18312,Feuil1
2022,août,services agricoles,48805,Feuil1
2022,août,transformation primaire,51645,Feuil1
2022,septembre,agriculture,252171,Feuil1
2022,septembre,peche,36207,Feuil1
2022,septembre,acquaculture,18312,Feuil1
2022,septembre,services agricoles,54395,Feuil1
2022,septembre,transformation primaire,50806,Feuil1
2022,octobre,agriculture,293826,Feuil1
2022,octobre,peche,38646,Feuil1
2022,octobre,acquaculture,30534,Feuil1
2022,octobre,services agricoles,60704,Feuil1
2022,octobre,transformation primaire,57688,Feuil1
2022,novembre,agriculture,335480,Feuil1
2022,novembre,peche,46055,Feuil1
2022,novembre,acquaculture,30861,Feuil1
2022,novembre,services agricoles,66659,Feuil1
2022,novembre,transformation primaire,65116,Feuil1
2022,decembre,agriculture,381470,Feuil1
2022,decembre,peche,61858,Feuil1
2022,decembre,acquaculture,37951,Feuil1
2022,decembre,services agricoles,76054,Feuil1
2022,decembre,transformation primaire,83374,Feuil1
2023,mars,agriculture,70847,Feuil1
2023,mars,peche,21062,Feuil1
