annee,investissement_agricole_global,feuille
2016,1288.4,Millions de dinars
2017,1319.1,Millions de dinars
2018,1365.1,Millions de dinars
2019,1347.09,Millions de dinars
2020,1177.157,Millions de dinars
2021,1095.888,Millions de dinars
2022,1392.14,Millions de dinars
2023,1248.838,Millions de dinars
2024,1244.0,Millions de dinars
2025,1307.4,Millions de dinars
