سنة_الادراج_بالميزانية,العناصر,البرنامج,المحتوى_المادي,المحتوى_المالي_اد,ملاحظات,feuille
2010.0,تعهد مشروع الماء الصالح للشراب ببئر سعد,PISEAU 2,1,382.0,تقدم إنجاز الأشغال 100%,Feuil1
2011.0,إحداث منطقة سقوية السد1,تدعيم PDAI,1,406.0,تقدم الإنجاز 100%,Feuil1
2011.0,إحداث منطقة سقوية السد2,تدعيم PDAI,1,314.0,تقدم الإنجاز 100%,Feuil1
2011.0,مد خط لكهربة البئر العميقة  للماء الصالح الشراب بئر سعد بالقطار,تدعيم PDAI,1,144.0,,Feuil1
2012.0,مد خط لكهربة آبار سطحية,تدعيم PDAI,28 بئرا,399.2,تقدم الإنجاز 100 %,Feuil1
2012.0,حفر البئر الإستكشافية اولاد بوسعد,البرنامج الوطني,1,369.7,تقدم الإنجاز 100% (15 ل/ث),Feuil1
2012.0,حفر البئر الإستكشافية المشرف,البرنامج الوطني,1,,تقدم الإنجاز 100% (55 ل/ث),Feuil1
2012.0,حفر البئر التعويضية :لرطس 7,البرنامج الوطني,1,499.0,تقدم الإنجاز 100%,Feuil1
2012.0,حفر البئر التعويضية : القطار الغربية,البرنامج الوطني,1,,تقدم الإنجاز 100%(10 ل/ث),Feuil1
2012.0,حفر البئر التعويضية :واد الأبيض,البرنامج الوطني,1,,تقدم الإنجاز 100% والبئر سلبية,Feuil1
2012.0,إحداث منطقة سقوية ماجني الأرطس,البرنامج الوطني,1,585.78568,تقدم الإنجاز 100%,Feuil1
2012.0,حفر بئر الإستغلال القلعة,المجمع الكيمياوي,1,340.0,تقدم الإنجاز 100% (62 ل/ث),Feuil1
2014.0,حفر بئر الإستغلال واد لبيض 2,برنامج المجلس الجهوي,1,200.0,"تقدم الإنجاز 100%               (40 ل/ث و 1,2 غ/ل)",Feuil1
2016.0,حفر البئر الإستكشافية بوعمران 2,البرنامج الوطني,1,300.0,"تقدم الإنجاز 100% (36 ل/ث و 1,2  غ/ل)",Feuil1
2018.0,تجهيز ابار عميقة بالطاقة الشمسية : تجهيز محطة ضخ للماء الصالح للشراب بأولاد طالب,البرنامج الوطني,,120.0,"تم فرز العروض, في طور التعهد لدى مراقب المصاريف",Feuil1
2014.0,واد الأبيض 2,برنامج المجلس الجهوي,,200.0,"تقدم الإنجاز 100% (40 ل/ث و 1,2  غ/ل)",Feuil1
2019.0,احداث منطقة سقوية مكثفة بالمشرف,البرنامج الوطني,103هك,1010.0,تم نشر طلب العروض,Feuil1
2019.0,دراسة احداث منطفة سقوية مكثفة,PDI,,,تم فتح العروض,Feuil1
,احداث مناطق سقوية الاتباع الفطاطمة,PDI,,,في انتظار حفر الابار,Feuil1
2014.0,واد الابيض 2,برنامج المجلس الجهوي,,200.0,"تقدم الانجاز 100% (40ل/ث,1,2غ/ل)",Feuil1
,,,,3939.68568,,Feuil1
