annee,auteur_affil,isn,langue,m_coll_auteur,m_lieu_edition,m_titre_orig,projet_develop,resume,titre,source,feuille
1980.0,"Bouacida, M.",3553,(Fr),ENMV,Sidi Thabet,Etude d'une alimentation à base d'un aliment concentré et de bouchons de luzerne pour des lapins croisés. (Fauves de Bourgogne X race locale tunisienne),,"/Thèse/ sur l/alimentation animale/ à base d/aliment concentré/ et de bouchons de /luzerne/ pour des /lapin/s croisés fauves de Bourgogne avec /race locale/ tunisienne - Données sur l/anatomie/ et la /physiologie/ de l/appareil digestif/ du lapin, sur l'utilisation des /glucide/s, /lipide/s, /protide/s, /sels mineraux/ et /vitamine/s, sur les /besoin alimentaire/s du lapin en ces aliments. Variation de leur /digestibilité/ et formation d'une /ration alimentaire/. Observations et interprétation des résultats d/expérimentation/",Etude d'une alimentation à base d'un aliment concentré et de bouchons de luzerne pour des lapins croisés. (Fauves de Bourgogne X race locale tunisienne),http://www.onagri.tn/uploads/docagri/3553N.PDF,Feuil1
2014.0,INAT,13958,(FR),INAT,Tunis,Modélisation et aide à la décision pour l'interconnexion de deux barrages du semi-aride tunisien Sidi Saad et El Haouareb \n,,,Modélisation et aide à la décision pour l'interconnexion de deux barrages du semi-aride tunisien Sidi Saad et El Haouareb \n,CD:259*ONAGRI,Feuil1
1980.0,"Mzali, H.",3557,(Fr),ENMV,Sidi Thabet,S.T.I.L. (Société Tunisienne d'industrie laitière). Centrale laitière de Bab Saadoun. Rôle économique et hygiénique,,"/Thèse/ sur l/industrie laitière/, les /équipement industriel/s et les /produit laitier/s de la /STIL/ - Rappels généraux sur le /lait/ et ses transformations. Données sur la /pasteurisation/, la /stérilisation thermique/, la fabrication des /yoghourt/s, des /fromage/s et des camemberts. Nettoyage et désinfectation, utilisation de /lait deshydraté/, /emballage/ des /produit laitier/s et maîtrise générale de la production laitière Tunisienne avec données sur les contrôles à l'usine, /hygiène/ de la /distribution/ et de la /consommation/",S.T.I.L. (Société Tunisienne d'industrie laitière). Centrale laitière de Bab Saadoun. Rôle économique et hygiénique,http://www.onagri.tn/uploads/docagri/3553N.PDF,Feuil1
1979.0,,3219,(AR),PROJET CEINTURE VERTE AFN,Medenine,[Conférence sur la couverture végétale]\n,,"/Article/ sur la /couverture végétale/ dans la /forêt/ du /Maghreb/, influence du milieu et des différentes /zone climatique/ sur quelques groupes végétaux. etude dans le cadre du projet /ceinture verte en AFN/",[Conférence sur la couverture végétale]\n,Microfiche,Feuil1
2001.0,FAO,84591,(AR),FAO,Rome(IT),[la commission du codex alimentarius. Inspection de l'importation et de l'exportation alimentaires et les systèmes de certification recueil de textes]\n,,/CODEX ALIMENTAIRE//NORME ALIMENTAIRE//REGLEMENTATION//CONTROLE SANITAIRE//COMMERCE ALIMENTAIRE/,[la commission du codex alimentarius. Inspection de l'importation et de l'exportation alimentaires et les systèmes de certification recueil de textes]\n,Bibliothéque l'onagri,Feuil1
2004.0,,84750,(FR),GIFRUITS,Tunis,20 Nouvelles variétés d'agrumes. Description et interet économique,,/DOCUMENT TECHNIQUE//VARIETE//AGRUMES/,20 Nouvelles variétés d'agrumes. Description et interet économique,,Feuil1
2010.0,INAT,14186,(FR),INAT,Tunis,Amélioration de la productivité de l'olivier par l'irrigation complémentaire à l'eau salée et gestion du lessivage naturel \n,,,Amélioration de la productivité de l'olivier par l'irrigation complémentaire à l'eau salée et gestion du lessivage naturel \n,CD:587*ONAGRI,Feuil1
2010.0,INAT,14182,(FR),INAT,Tunis,Analyse du gène de résistance à Septoria tritici chez 'Agili' par les marqueurs des gènes de résistance 'Stb's\n,,,Analyse du gène de résistance à Septoria tritici chez 'Agili' par les marqueurs des gènes de résistance 'Stb's\n,CD:583*ONAGRI,Feuil1
2011.0,INAT,14145,(FR),INAT,Tunis,"Application de la lutte thermique au moyen de l'air chaud contre deux ravageurs des dattes stockées : Ectomyelois ceratoniae Z. (Lepidoptera, Pyralidae) et Carpophilus hemipterus L. (Coleoptera, Nitidulidae).\n",,,"Application de la lutte thermique au moyen de l'air chaud contre deux ravageurs des dattes stockées : Ectomyelois ceratoniae Z. (Lepidoptera, Pyralidae) et Carpophilus hemipterus L. (Coleoptera, Nitidulidae).\n",CD:446*ONAGRI,Feuil1
1976.0,DRE,1970,(FR),DRE,TUNIS,"Article concern. lentretien des plantations et lamendement du sol dans les périmètre d'irrigation du Nebhana - Avantages et désavantages du travail du sol, du désherbage chimique, du mulching et de lengrais vert dans les entrelignes du verger",,"/Article/ concern. l/entretien des plantations/ et l/amendement du sol/ dans les /périmètre d'irrigation/ du /Nebhana/ - Avantages et désavantages du /travail du sol/, du /désherbage chimique/, du mulching et de l/engrais vert/ dans les entrelignes du /verger/",,http://www.onagri.tn/uploads/docagri/1970N.PDF,Feuil1
