anne,collection_lait_tonne,poduction_lait_tonne,feuille
2018,10645,16750,Feuil1
2019,11093,17085,Feuil1
2020,12576,18391,Feuil1
2021,14224,18300,Feuil1
2022,14965,17800,Feuil1
2023,13594,17200,Feuil1
2024,14790,16800,Feuil1
2025,15559,18800,Feuil1
