annee,secteur,consommation_facturee_globale_par_secteur_1000_m3,feuille
2018,Industrie,22419.370000000003,1000m3
2018,Tourisme,13977.624999999998,1000m3
2018,Divers,1971.2949999999998,1000m3
2019,Domestique-branché,359591.254,1000m3
2019,Domestique-non-branché,13736.762,1000m3
2019,Commerce,14489.672999999999,1000m3
2019,administration,26272.001000000004,1000m3
2019,Municipal,8025.307000000001,1000m3
2019,Industrie,22163.057,1000m3
2019,Tourisme,14992.217999999999,1000m3
2019,Divers,1941.63,1000m3
2020,Domestique-branché,374265.627,1000m3
2020,Domestique-non-branché,15283.473,1000m3
2020,Commerce,13163.939,1000m3
2020,administration,24774.436999999998,1000m3
2020,Municipal,7387.956,1000m3
2020,Industrie,21126.765,1000m3
2020,Tourisme,7717.587000000001,1000m3
2020,Divers,1773.7530000000002,1000m3
2021,Domestique-branché,379057.2921,1000m3
2021,Domestique-non-branché,16184.404,1000m3
2021,Commerce,13484.932999999999,1000m3
2021,administration,26008.001,1000m3
2021,Municipal,8543.966,1000m3
2021,Industrie,22524.239,1000m3
2021,Tourisme,8260.404,1000m3
2021,Divers,2056.806,1000m3
2022,Domestique-branché,378021.925,1000m3
2022,Domestique-non-branché,17352.462000000003,1000m3
2022,Commerce,13852.746,1000m3
2022,administration,26627.297000000002,1000m3
2022,Municipal,8185.107,1000m3
2022,Industrie,22364.87,1000m3
2022,Tourisme,11911.654,1000m3
2022,Divers,1883.6009999999999,1000m3
2023,Domestique-branché,372112.9709999999,1000m3
2023,Domestique-non-branché,16638.445000000003,1000m3
2023,Commerce,13219.68,1000m3
2023,administration,24978.552,1000m3
2023,Municipal,7706.599,1000m3
2023,Industrie,20988.107000000004,1000m3
2023,Tourisme,12408.89,1000m3
2023,Divers,1757.7469999999998,1000m3
2024,Domestique-branché,376896.28599999996,1000m3
2024,Domestique-non-branché,17362.31,1000m3
2024,Commerce,13448.305,1000m3
2024,administration,24983.303,1000m3
2024,Municipal,8062.425,1000m3
2024,Industrie,21669.113,1000m3
2024,Tourisme,13143.009999999998,1000m3
2024,Divers,1808.147,1000m3
