annee,delegation_fr,delegation_ar,cerealiculture_ha,fourrages_ha,legumes_ha,legumineuses_ha,arboriculture_ha,autres_cultures_ha,feuille
2021,Tozeur,توزر,,100,290,,3006,,Feuil1
2021,Dgueche,دقاش,,60,170,,1497,,Feuil1
2021,Tamaghza,تمغزة,,10,50,,655,,Feuil1
2021,Nefta,نفطة,,85,290,,1665,,Feuil1
2021,Hazoua,حزوة,,5,10,,1147,,Feuil1
2021,Hammet El Djérid,حامة الجريد,,30,40,,830,,Feuil1
2021,Total,المجموع,0,290,850,0,8800,0,Feuil1
2022,Tozeur,توزر,,80,250,,2774,,Feuil1
2022,Dgueche,دقاش,,80,160,,1257,,Feuil1
2022,Tamaghza,تمغزة,5,25,70,,635,,Feuil1
2022,Nefta,نفطة,,75,300,,1497,,Feuil1
2022,Hazoua,حزوة,,5,20,,1066,,Feuil1
2022,Hammet El Djérid,حامة الجريد,,25,50,,762,,Feuil1
2022,Total,المجموع,5,290,850,,7991,,Feuil1
2023,Tozeur,توزر,,85,235,,3093,,Feuil1
2023,Dgueche,دقاش,,80,160,,1483,,Feuil1
2023,Tamaghza,تمغزة,5,30,70,,587,,Feuil1
2023,Nefta,نفطة,,80,280,,1660,,Feuil1
2023,Hazoua,حزوة,,5,20,,1077,,Feuil1
2023,Hammet El Djérid,حامة الجريد,,25,50,,825,,Feuil1
2023,Total,المجموع,5,305,815,,8725,,Feuil1
2024,Tozeur,توزر,,85,235,,3093,,Feuil1
2024,Degache,دقاش,,80,160,,1483,,Feuil1
2024,Tamaghza,تمغزة,,30,70,,587,,Feuil1
2024,Nefta,نفطة,,80,280,,1660,,Feuil1
2024,Hezoua,حزوة,,5,20,,1077,,Feuil1
2024,Hammet eljerid,حامة الجريد,,25,50,,825,,Feuil1
2024,Total,المجموع,0,305,815,,8725,0,Feuil1
