انواع_الزراعة,المساحة_لسنة_2019,الانتاج_لسنة_2019,المساحة_لسنة_2020,الانتاج_لسنة_2020,feuille
بطاطا أخر فصلية,680.0,12920.0,750.0,10500.0,Feuil1
بطاطا فصلية,750.0,18000.0,500.0,,Feuil1
المجموع,1430.0,30920.0,1250.0,10500.0,Feuil1
زراعة الطماطم أخر فصلية,50.0,5000.0,50.0,,Feuil1
زراعة الطماطم محمية,,,,,Feuil1
زراعة الطماطم صيفية,750.0,82500.0,750.0,,Feuil1
المجموع,800.0,87500.0,800.0,0.0,Feuil1
الفلفل,350.0,8750.0,350.0,,Feuil1
الدلاع و البطيخ,150.0,5250.0,150.0,,Feuil1
البصل,1400.0,49000.0,1200.0,,Feuil1
جلبانة خضراء,250.0,2500.0,200.0,,Feuil1
فول أخضر,250.0,2500.0,250.0,,Feuil1
ثوم,150.0,25550.0,100.0,,Feuil1
جزر,750.0,22500.0,600.0,,Feuil1
لفت,500.0,12500.0,400.0,,Feuil1
فقوس,1250.0,18750.0,750.0,,Feuil1
قرع,500.0,19234.0,300.0,,Feuil1
الخص,600.0,150000.0,450.0,,Feuil1
أنواع أخرى,550.0,6278.0,550.0,6278.0,Feuil1
