annee,culture,production_tonne,feuille
2024,pomme_de_terre,3591.0,Feuil1
2024,melon,28.0,Feuil1
2024,tomate,324.0,Feuil1
2024,concombre,105.0,Feuil1
2024,piment,570.0,Feuil1
2024,courgette,335.0,Feuil1
2024,divers,725.0,Feuil1
2023,pomme_de_terre,10957.0,Feuil1
2023,melon,153.0,Feuil1
2023,tomate,6536.0,Feuil1
2023,concombre,565.0,Feuil1
2023,piment,3933.0,Feuil1
2023,courgette,1620.0,Feuil1
2023,divers,1386.0,Feuil1
2022,pomme_de_terre,9336.0,Feuil1
2022,melon,204.0,Feuil1
2022,tomate,8855.0,Feuil1
2022,concombre,398.0,Feuil1
2022,piment,4898.0,Feuil1
2022,courgette,2965.0,Feuil1
2022,divers,945.0,Feuil1
2021,pomme_de_terre,12175.04169,Feuil1
2021,melon,330.0,Feuil1
2021,tomate,9000.0,Feuil1
2021,concombre,799.2,Feuil1
2021,piment,5925.0,Feuil1
2021,courgette,3052.3500000000004,Feuil1
2021,divers,2616.3,Feuil1
2020,pomme_de_terre,11700.229611538463,Feuil1
2020,melon,181.0,Feuil1
2020,tomate,7680.0,Feuil1
2020,concombre,1099.75,Feuil1
2020,piment,5124.0,Feuil1
2020,courgette,2056.25,Feuil1
2020,divers,220.5,Feuil1
2019,pomme_de_terre,14071.4,Feuil1
2019,melon,446.5,Feuil1
2019,tomate,7904.0,Feuil1
2019,concombre,1560.0,Feuil1
2019,piment,3145.0,Feuil1
2019,courgette,3717.0,Feuil1
2019,divers,1005.0,Feuil1
2018,pomme_de_terre,17651.686499999996,Feuil1
2018,melon,47.5,Feuil1
2018,tomate,7520.0,Feuil1
2018,concombre,253.2,Feuil1
2018,piment,1111.0,Feuil1
2018,courgette,1761.05,Feuil1
2018,divers,96.6,Feuil1
2017,pomme_de_terre,11338.142820000001,Feuil1
2017,melon,140.0,Feuil1
2017,tomate,10009.713,Feuil1
2017,concombre,1876.5765,Feuil1
2017,piment,6190.0,Feuil1
2017,courgette,2409.558400000001,Feuil1
2017,divers,1609.9964,Feuil1
2016,pomme_de_terre,13819.944990000002,Feuil1
2016,melon,82.25,Feuil1
2016,tomate,7244.0,Feuil1
2016,concombre,681.3,Feuil1
2016,piment,5958.0,Feuil1
2016,courgette,2325.5,Feuil1
2016,divers,1736.0,Feuil1
2015,pomme_de_terre,22237.5,Feuil1
2015,melon,236.0,Feuil1
2015,tomate,16710.0,Feuil1
2015,concombre,1887.4499999999998,Feuil1
2015,piment,10465.0,Feuil1
2015,courgette,6190.025,Feuil1
2015,divers,2044.9,Feuil1
2014,pomme_de_terre,22000.0,Feuil1
2014,melon,113.0,Feuil1
2014,tomate,15798.0,Feuil1
2014,concombre,1433.0,Feuil1
2014,piment,7902.0,Feuil1
2014,courgette,7910.19,Feuil1
2014,divers,1180.66,Feuil1
2013,pomme_de_terre,20071.579999999998,Feuil1
2013,melon,22.0,Feuil1
2013,tomate,12888.074999999999,Feuil1
2013,concombre,615.1429999999999,Feuil1
2013,piment,4050.15,Feuil1
2013,courgette,4131.9349999999995,Feuil1
2013,divers,1643.76,Feuil1
