delegation,secteur,insemination_artificielle_2017_nb,insemination_artificielle_2018_nb,feuille
تيبار,دجبة,5,31,Feuil1
تيبار,عين الدفالي,19,38,Feuil1
تبرسق,عين الحمام,38,17,Feuil1
تبرسق,عين مليتي,70,40,Feuil1
تبرسق,ريحانة,42,36,Feuil1
تبرسق,بئر التوتة,0,36,Feuil1
نفزة,زاقة,128,36,Feuil1
نفزة,الجميلة,126,47,Feuil1
نفزة,غياضة,68,0,Feuil1
نفزة,الطبابة,35,36,Feuil1
نفزة,واد المعدن,150,36,Feuil1
نفزة,بوزنة,150,36,Feuil1
نفزة,فطناسة,115,36,Feuil1
نفزة,الظهيرات,44,0,Feuil1
باجة الجنوبية,مستوتة,0,33,Feuil1
باجة الجنوبيّة,سيدي إسماعيل,0,27,Feuil1
باجة الجنوبيّة,المخشبية,0,39,Feuil1
عمدون,زهرة مدين الجنوبية,0,21,Feuil1
عمدون,المجالس,0,30,Feuil1
عمدون,الفرايجية,0,24,Feuil1
عمدون,الحمراء,0,18,Feuil1
عمدون,الجوزة,0,43,Feuil1
