annee,activite,subvention,autofinancement,credit_bancaire,investissement_total,nombre_beneficiaires,feuille
2022,Irrigation agricole,10210.903,14445.866,0.0,24656.769,3499,Feuil1
2022,Elevage,1546.683,2838.3,459.714,4844.697,803,Feuil1
2022,Matériel agricole,3197.617,3367.815,32.902,6598.334,560,Feuil1
2022,Developpement des plantations arboricoles,1570.126,2234.027,0.0,3804.153,700,Feuil1
2022,Lutte contre l'érosion,1097.839,896.325,0.0,1994.164,361,Feuil1
2022,Bâtiments rurales,1861.922,4240.852,7.2,6109.974,552,Feuil1
2022,Developement des forets et des parcours,1.275,2.975,0.0,4.25,2,Feuil1
2022,pêche maritime,1634.814,3332.877,108.364,5076.055,490,Feuil1
2023,Irrigation agricole,6613.213,9566.143,0.0,16179.356,2298,Feuil1
2023,Elevage,837.007,1656.2,248.74,2741.947,282,Feuil1
2023,Matériel agricole,1987.955,2005.549,5.649,3999.153,381,Feuil1
2023,Developpement des plantations arboricoles,1154.444,1665.281,0.0,2819.725,497,Feuil1
2023,Lutte contre l'érosion,531.735,435.121,0.0,966.856,231,Feuil1
2023,Bâtiments rurales,1145.71,2673.688,0.0,3819.398,330,Feuil1
2023,Developement des forets et des parcours,3.51,8.19,0.0,11.7,5,Feuil1
2023,pêche maritime,1359.938,2674.045,120.816,4154.799,366,Feuil1
2024,Irrigation agricole,6778.292,9612.572,0.0,16390.864,2135,Feuil1
2024,Elevage,890.743,1681.519,316.379,2888.641,294,Feuil1
2024,Matériel agricole,2425.425,2254.579,61.498,4741.502,397,Feuil1
2024,Developpement des plantations arboricoles,852.53,1111.615,0.0,1964.145,374,Feuil1
2024,Lutte contre l'érosion,628.581,514.294,0.0,1142.875,204,Feuil1
2024,Bâtiments rurales,1142.589,2652.776,0.0,3795.365,295,Feuil1
2024,Developement des forets et des parcours,0.0,0.0,0.0,0.0,0,Feuil1
2024,pêche maritime,1003.271,1972.288,54.057,3029.616,316,Feuil1
2025,Irrigation agricole,5974.558,8750.558,0.0,14725.45,1846,Feuil1
2025,Elevage,1691.708,2805.117,1035.935,5532.76,366,Feuil1
2025,Matériel agricole,2236.922,2211.116,45.661,4493.699,397,Feuil1
2025,Developpement des plantations arboricoles,744.255,817.238,0.0,1561.493,316,Feuil1
2025,Lutte contre l'érosion,260.526,213.156,0.0,473.682,126,Feuil1
2025,Bâtiments rurales,1022.671,2383.577,0.0,3406.248,287,Feuil1
2025,Developement des forets et des parcours,0.306,0.714,0.0,1.02,1,Feuil1
2025,pêche maritime,853.387,1631.395,28.87,2513.652,312,Feuil1
