annee,delegation,septembre,octobre,novembre,decembre,janvier,fevrier,mars,avril,mai,juin,juillet,aout,total,moyenne_annuelle_precipitations,taux_couverture,feuille
2022-2023,الكاف الشرقية,30.0,10.4,107.0,12.8,27.4,9.8,1.0,22.4,91.0,43.7,4.0,5.0,364.3,406.4,90,Feuil1
2022-2023,الكاف الغربية,41.0,43.0,39.0,17.0,14.1,19.4,0.7,25.4,113.5,73.5,10.5,0.0,397.0,421.2,94,Feuil1
2022-2023,نبر,42.5,30.0,41.5,5.5,10.5,19.0,2.0,24.5,98.0,78.0,0.0,0.0,351.5,415.0,85,Feuil1
2022-2023,الساقية,55.1,81.5,67.8,11.0,27.9,30.5,8.0,30.0,189.0,86.0,0.0,2.0,589.0,475.0,124,Feuil1
2022-2023,تاجروين,67.0,4.0,18.0,2.5,8.0,2.0,2.0,13.0,85.0,49.0,0.0,1.0,251.5,367.0,69,Feuil1
2022-2023,قلعة سنان,69.0,1.0,12.0,3.5,7.5,4.0,0.0,18.5,219.5,41.0,5.0,0.0,381.0,365.4,104,Feuil1
2022-2023,القلعة الخصباء,57.0,1.0,14.0,0.0,7.0,4.0,0.0,11.0,135.0,26.0,0.0,6.0,261.0,373.2,70,Feuil1
2022-2023,الجريصة,37.5,3.0,20.5,3.0,8.5,6.0,0.0,15.5,103.0,35.0,4.0,3.5,239.5,372.0,64,Feuil1
2022-2023,الدهماني,25.0,30.5,25.0,3.0,5.5,6.5,2.0,18.5,120.5,30.5,10.0,7.0,284.0,438.9,65,Feuil1
2022-2023,القصور,42.0,13.0,20.5,2.0,1.5,11.0,3.0,19.5,143.0,40.0,0.0,6.0,301.5,405.0,74,Feuil1
2022-2023,السرس,17.5,4.0,28.3,1.5,3.5,30.0,2.5,16.0,90.0,32.5,11.0,0.0,236.8,384.1,62,Feuil1
2022-2023,الطويرف,68.0,20.0,52.0,6.0,13.0,20.0,3.5,33.0,97.0,97.0,0.0,20.0,429.5,490.1,88,Feuil1
2023-2024,الكاف الشرقية,6.4,0.0,42.2,80.4,12.2,41.0,19.2,22.4,29.0,2.2,0.0,60.1,315.1,406.4,78,Feuil1
2023-2024,الكاف الغربية,5.0,0.0,76.0,116.0,12.8,53.4,21.3,26.8,32.8,5.9,0.0,19.3,369.3,421.2,88,Feuil1
2023-2024,نبر,0.0,0.0,68.5,91.7,20.0,63.5,16.0,12.5,20.5,0.0,0.0,6.0,298.7,415.0,72,Feuil1
2023-2024,الساقية,3.0,3.0,51.0,60.7,22.0,105.0,16.0,31.0,38.5,4.0,0.0,20.8,355.0,475.0,75,Feuil1
2023-2024,تاجروين,0.0,0.0,37.5,49.0,5.0,35.5,9.4,22.0,22.5,0.0,0.0,15.5,196.4,367.0,54,Feuil1
2023-2024,قلعة سنان,0.0,0.0,31.0,50.5,3.0,36.0,0.0,26.0,28.5,4.0,0.0,24.5,203.5,365.4,56,Feuil1
2023-2024,القلعة الخصباء,2.0,0.0,32.5,58.0,2.0,29.0,4.0,18.0,16.5,28.0,0.0,12.0,202.0,373.2,54,Feuil1
2023-2024,الجريصة,0.0,0.0,11.0,59.5,5.0,45.5,6.5,13.5,17.0,12.0,0.0,6.5,176.5,372.0,47,Feuil1
2023-2024,الدهماني,0.0,0.0,44.5,55.2,8.3,38.4,7.6,13.7,17.6,10.5,0.0,5.5,201.3,438.9,46,Feuil1
2023-2024,القصور,20.5,0.0,43.0,74.0,7.0,47.0,9.0,17.5,12.5,4.0,0.0,3.0,237.5,405.0,59,Feuil1
2023-2024,السرس,0.0,0.0,33.0,73.0,6.0,40.0,11.0,12.0,46.5,1.0,0.0,14.0,236.5,384.1,62,Feuil1
2023-2024,الطويرف,0.0,0.0,50.0,64.0,20.0,92.0,13.0,24.0,24.0,4.0,0.0,22.0,313.0,490.1,64,Feuil1
