date,gouvernorat,superficies,feuille
1992,Gafsa,,Feuil2
1992,Gabès,2100.0,Feuil2
1992,Tozeur,7800.0,Feuil2
1992,Kébili,7600.0,Feuil2
1993,Gafsa,,Feuil2
1993,Gabès,900.0,Feuil2
1993,Tozeur,7670.0,Feuil2
1993,Kébili,7460.0,Feuil2
1994,Gafsa,,Feuil2
1994,Gabès,4000.0,Feuil2
1994,Tozeur,7740.0,Feuil2
1994,Kébili,12350.0,Feuil2
1995,Gafsa,750.0,Feuil2
1995,Gabès,2910.0,Feuil2
1995,Tozeur,7750.0,Feuil2
1995,Kébili,12920.0,Feuil2
1996,Gafsa,970.0,Feuil2
1996,Gabès,3030.0,Feuil2
1996,Tozeur,7750.0,Feuil2
1996,Kébili,13460.0,Feuil2
1997,Gafsa,1310.0,Feuil2
1997,Gabès,5050.0,Feuil2
1997,Tozeur,7800.0,Feuil2
1997,Kébili,13830.0,Feuil2
1998,Gafsa,1140.0,Feuil2
1998,Gabès,5100.0,Feuil2
1998,Tozeur,7800.0,Feuil2
1998,Kébili,15300.0,Feuil2
1999,Gafsa,1820.0,Feuil2
1999,Gabès,6940.0,Feuil2
1999,Tozeur,7900.0,Feuil2
1999,Kébili,16000.0,Feuil2
2000,Gafsa,1270.0,Feuil2
2000,Gabès,7100.0,Feuil2
2000,Tozeur,7900.0,Feuil2
2000,Kébili,16000.0,Feuil2
2001,Gafsa,1290.0,Feuil2
2001,Gabès,7200.0,Feuil2
2001,Tozeur,7900.0,Feuil2
2001,Kébili,16000.0,Feuil2
2002,Gafsa,1350.0,Feuil2
2002,Gabès,7200.0,Feuil2
2002,Tozeur,8100.0,Feuil2
2002,Kébili,16000.0,Feuil2
2003,Gafsa,1860.0,Feuil2
2003,Gabès,6940.0,Feuil2
2003,Tozeur,8150.0,Feuil2
2003,Kébili,15960.0,Feuil2
2004,Gafsa,1360.0,Feuil2
2004,Gabès,7200.0,Feuil2
2004,Tozeur,8150.0,Feuil2
2004,Kébili,16000.0,Feuil2
2005,Gafsa,1950.0,Feuil2
2005,Gabès,6940.0,Feuil2
2005,Tozeur,8210.0,Feuil2
2005,Kébili,16040.0,Feuil2
2006,Gafsa,2680.0,Feuil2
2006,Gabès,6700.0,Feuil2
2006,Tozeur,8360.0,Feuil2
2006,Kébili,16020.0,Feuil2
2007,Gafsa,1840.0,Feuil2
2007,Gabès,6550.0,Feuil2
2007,Tozeur,8360.0,Feuil2
2007,Kébili,16300.0,Feuil2
2008,Gafsa,1950.0,Feuil2
2008,Gabès,6520.0,Feuil2
2008,Tozeur,8370.0,Feuil2
2008,Kébili,16300.0,Feuil2
2009,Gafsa,1950.0,Feuil2
2009,Gabès,6640.0,Feuil2
2009,Tozeur,8360.0,Feuil2
2009,Kébili,22980.0,Feuil2
2010,Gafsa,1950.0,Feuil2
2010,Gabès,7000.0,Feuil2
2010,Tozeur,8360.0,Feuil2
2010,Kébili,23860.0,Feuil2
2011,Gafsa,1950.0,Feuil2
2011,Gabès,7000.0,Feuil2
2011,Tozeur,8370.0,Feuil2
2011,Kébili,23870.0,Feuil2
2012,Gafsa,1980.0,Feuil2
2012,Gabès,7000.0,Feuil2
2012,Tozeur,8370.0,Feuil2
2012,Kébili,23850.0,Feuil2
2013,Gafsa,2330.0,Feuil2
2013,Gabès,7000.0,Feuil2
2013,Tozeur,8360.0,Feuil2
2013,Kébili,23860.0,Feuil2
2014,Gafsa,2260.0,Feuil2
2014,Gabès,7000.0,Feuil2
2014,Tozeur,8360.0,Feuil2
2014,Kébili,23860.0,Feuil2
2015,Gafsa,2550.0,Feuil2
2015,Gabès,7300.0,Feuil2
2015,Tozeur,8360.0,Feuil2
2015,Kébili,23860.0,Feuil2
2016,Gafsa,2440.0,Feuil2
2016,Gabès,7300.0,Feuil2
2016,Tozeur,8450.0,Feuil2
2016,Kébili,36540.0,Feuil2
2017,Gafsa,4324.0,Feuil2
2017,Gabès,7262.0,Feuil2
2017,Tozeur,8444.0,Feuil2
2017,Kébili,36559.0,Feuil2
