المعتمدية,عدد_مجامع_التنمية_الفلاحية,feuille
بوزيد الغربية,23,Feuil1
بوزيد الشرقية,31,Feuil1
المكناسي,12,Feuil1
الرقاب,15,Feuil1
السعيدة,3,Feuil1
جلمة,18,Feuil1
السبالة,12,Feuil1
أولاد حفوز,12,Feuil1
بئر الحفي,21,Feuil1
منزل بوزيان,23,Feuil1
بن عون,22,Feuil1
سوق الجديد,22,Feuil1
المزونة,9,Feuil1
الجملة,223,Feuil1
