annee,pays,export_qtetonnes,feuille
2019,France,13046.6,Feuil1
2019,Libye,318.5,Feuil1
2019,Qatar,107.9,Feuil1
2019,Koweit,148.1,Feuil1
2019,Ar. Saoudite,0.75,Feuil1
2019,EAU,60.4,Feuil1
2019,Omen,43.3,Feuil1
2019,Allemagne,40.6,Feuil1
2019,Angleterre,44.1,Feuil1
2019,Italie,74.3,Feuil1
2019,Suède,130.2,Feuil1
2019,Suisse,8.5,Feuil1
2019,Canada,19.9,Feuil1
2020,France,7517.84,Feuil1
2020,Libye,2771.0,Feuil1
2020,Qatar,62.39,Feuil1
2020,Koweit,39.1,Feuil1
2020,Ar. Saoudite,3.0,Feuil1
2020,EAU,1.514,Feuil1
2020,Omen,14.535,Feuil1
2020,Allemagne,,Feuil1
2020,Angleterre,22.0,Feuil1
2020,Italie,,Feuil1
2020,Suède,,Feuil1
2020,Suisse,,Feuil1
2020,Canada,3.346,Feuil1
2021,France,11576.299999999997,Feuil1
2021,Libye,6072.7,Feuil1
2021,Qatar,74.41,Feuil1
2021,Koweit,65.9,Feuil1
2021,Ar. Saoudite,3.5,Feuil1
2021,EAU,40.4,Feuil1
2021,Omen,,Feuil1
2021,Allemagne,,Feuil1
2021,Angleterre,,Feuil1
2021,Italie,28.0,Feuil1
2021,Suède,,Feuil1
2021,Suisse,,Feuil1
2021,Canada,24.650000000000006,Feuil1
2022,France,9489.099999999999,Feuil1
2022,Libye,3833.5,Feuil1
2022,Qatar,37.43,Feuil1
2022,Koweit,65.5,Feuil1
2022,Ar. Saoudite,4.1,Feuil1
2022,EAU,5.7,Feuil1
2022,Omen,,Feuil1
2022,Allemagne,6.3,Feuil1
2022,Angleterre,,Feuil1
2022,Italie,,Feuil1
2022,Suède,,Feuil1
2022,Suisse,2.3,Feuil1
2022,Canada,10.8,Feuil1
2023,France,6895.019,Feuil1
2023,Libye,589.0,Feuil1
2023,Qatar,43.827999999999996,Feuil1
2023,Koweit,73.9365,Feuil1
2023,Ar. Saoudite,0.04,Feuil1
2023,EAU,1.358,Feuil1
2023,Omen,,Feuil1
2023,Allemagne,5.4,Feuil1
2023,Angleterre,,Feuil1
2023,Italie,,Feuil1
2023,Suède,,Feuil1
2023,Suisse,,Feuil1
2023,Canada,4.328,Feuil1
2024,France,7710.1849999999995,Feuil1
2024,Libye,620.0,Feuil1
2024,Qatar,86.77850000000002,Feuil1
2024,Koweit,32.987,Feuil1
2024,Ar. Saoudite,5.395,Feuil1
2024,EAU,48.209999999999994,Feuil1
2024,Omen,,Feuil1
2024,Allemagne,3.9,Feuil1
2024,Angleterre,,Feuil1
2024,Italie,,Feuil1
2024,Suède,,Feuil1
2024,Suisse,,Feuil1
2024,Canada,,Feuil1
2025,France,8918.019,Feuil1
2025,Libye,2612.0,Feuil1
2025,Qatar,2096.9365,Feuil1
2025,Koweit,2023.04,Feuil1
2025,Ar. Saoudite,2028.4,Feuil1
2025,EAU,2066.828,Feuil1
2025,Omen,,Feuil1
2025,Allemagne,,Feuil1
2025,Angleterre,,Feuil1
2025,Italie,,Feuil1
2025,Suède,,Feuil1
2025,Suisse,,Feuil1
2025,Canada,2023.0,Feuil1
