objet_du_marche,delai_d_execution,mode_de_passation,methode_de_passation,sources_de_fiancement,date_provisoire_de_prearation_du_cahier_de_charge,date_provisoire_de_l_avis_d_appel_public_a_la_concurrence,date_provisoire_d_ouverture_des_plis,date_provisoire_de_la_revu_du_dossier_par_la_commission_dachat,date_provisoire_d_envoi_du_dossier_dappel_doffre_au_commission_du_marche,date_provisoire_de_la_reponse_du_commission_du_marche,date_provisoire_de_la_publication_du_resultat_d_appel_d_offre,date_provisoire_d_attribution_du_marche,date_provisoire_de_debut_d_execution_du_marche,feuille
إقتناء شتلات زيتون لموسم 2020-2019,120 يوم,طلب عروض مفتوح,عادية,ميزانية الدولة العنوان الثاني,14جوان2019,9جويلية2019,15اوت2019,0,5سبتمبر2019,25سبتمبر2019,2اكتوبر2019,10اكتوبر2019,1نوفمبر2019,Feuil1
أشغال إنجاز حواجز حجرية بولايات باجة، بنزرت،جندوبة، الكاف وسليانة,120 يوم,طلب عروض مفتوح,مبسطة,ميزانية الدولة العنوان الثاني,22افريل2019,2ماي2019,11جوان2019,17جوان2019,0,0,24جوان2019,1جويلية2019,22جويلية2019,Feuil1
صيانة مسالك فلاحية بولايات باجة، بنزرت، جندوبة، الكاف وسليانة,120 يوم,طلب عروض مفتوح,مبسطة,ميزانية الدولة العنوان الثاني,15افريل2019,26افريل2019,25ماي2019,14جوان2019,0,0,28جوان2019,1جويلية2019,22جويلية2019,Feuil1
