annee,nom,zone_dintervention,nombre_dadheents,capital_dinars,activites,remarques,feuille
2020,الإزدهار,معتمدية تيبار,32.0,16.15,جمع وترويج الحليب الطازج - بيع  مستلزمات الإنتاج,,Feuil1
2020,الأمـل,معتمدية عمدون,74.0,,جمع وترويج الحليب الطازج - بيع  مستلزمات الإنتاج,,Feuil1
2020,الزهرة,كامل ولاية باجة,,,بيع مستلزمات تربية النحل,غير ناشطة,Feuil1
2020,أقري بن ساسي,"معتمدية باجة ,ج",,5.05,الميكنة الفلاحية,غير ناشطة,Feuil1
2020,الكابتول,معتمدية تبرسق,17.0,5.05,بيع مستلزمات الإنتاج,,Feuil1
2020,الزيتونة,معتمدية تبرسق,34.0,10.0,تنمية قطاع زيت الزيتزن-بيع مستلزمات الإنتاج,,Feuil1
2020,أرنوبة,ولاية باجة,,5.0,المحافظة وتطوير القطيع-جمع وترويج المنتوج-بيع مستلزمات الإنتاج,غير ناشطة,Feuil1
2020,غلال دجبة,عمادة دجبة,60.0,10.0,جمع وترويج االتين - بيع  مستلزمات الإنتاج,,Feuil1
2020,المستقبل,معتمدية نفزة,29.0,20.0,الميكنة الفلاحية - بيع مستلزمات الانتاج - تنمية المنطقة السقوية بنفزة,,Feuil1
2020,التقوى,ولاية باجة,,5.0,الميكنة الفلاحية - بيع مستلزمات الانتاج,غير ناشطة,Feuil1
2020,الوفاء,باجة الجنوبية,7.0,25.0,بيع مستلزمات الانتاج,,Feuil1
2020,الرمانة,تستور,25.0,26.0,بيع مستلزمات الانتاج- جمع و ترويج الرمان,,Feuil1
2020,الاندلس,تستور,7.0,5.0,تنمية قطاع تربية الدواجن,,Feuil1
2020,زينب,باجة الجنوبية,,5.0,تنمية قطاع تربية النحل,غير ناشطة,Feuil1
2020,دار النحال,تيبار,7.0,5.0,تنمية قطاع تربية النحل,,Feuil1
2020,cavicol,تستور,7.0,13.0,تنمية قطاع الدواجن,,Feuil1
2020,الريادة,باجة الشمالية,7.0,10.0,بيع مستلزمات الإنتاج,,Feuil1
2021,الإزدهار,معتمدية تيبار,32.0,16150.0,جمع وترويج الحليب الطازج - بيع  مستلزمات الإنتاج,,Feuil1
2021,الأمـل,معتمدية عمدون,74.0,17200.0,جمع وترويج الحليب الطازج - بيع  مستلزمات الإنتاج,,Feuil1
2021,أقري بن ساسي,"معتمدية باجة ,ج",10.0,5050.0,الميكنة الفلاحية,,Feuil1
2021,الكابتول,معتمدية تبرسق,17.0,5050.0,بيع مستلزمات الإنتاج,,Feuil1
2021,الزيتونة,معتمدية تبرسق,34.0,10000.0,تنمية قطاع زيت الزيتزن-بيع مستلزمات الإنتاج,,Feuil1
2021,غلال دجبة,عمادة دجبة,60.0,20000.0,جمع وترويج االتين - بيع  مستلزمات الإنتاج,,Feuil1
2021,المستقبل,معتمدية نفزة,29.0,25000.0,الميكنة الفلاحية - بيع مستلزمات الانتاج - تنمية المنطقة السقوية بنفزة,,Feuil1
2021,الوفاء,باجة الجنوبية,7.0,25000.0,بيع مستلزمات الانتاج,,Feuil1
2021,الرمانة,تستور,25.0,26000.0,بيع مستلزمات الانتاج- جمع و ترويج الرمان,,Feuil1
2021,الاندلس,تستور,7.0,5000.0,تنمية قطاع تربية الدواجن,,Feuil1
2021,دار النحال,تيبار,7.0,5000.0,تنمية قطاع تربية النحل,,Feuil1
2021,cavicol,تستور,7.0,13000.0,تنمية قطاع الدواجن,,Feuil1
2021,الريادة,باجة الشمالية,7.0,10000.0,بيع مستلزمات الإنتاج,,Feuil1
2021,الإنطلاقة,نفزة,7.0,4000.0,صناعة الجبن,,Feuil1
2021,كنوز جبل الأبيض,نفزة,11.0,16000.0,تثمين المنتوجات الغابية,,Feuil1
2022,الإزدهار,معتمدية تيبار,34.0,16150.0,جمع وترويج الحليب الطازج - بيع  مستلزمات الإنتاج,,Feuil1
2022,الأمـل,معتمدية عمدون,46.0,17200.0,جمع وترويج الحليب الطازج - بيع  مستلزمات الإنتاج,,Feuil1
2022,أقري بن ساسي,معتمدية باجة الجنوبية,10.0,5050.0,الميكنة الفلاحية,,Feuil1
2022,الكابتول,معتمدية تبرسق,17.0,5050.0,بيع مستلزمات الإنتاج,,Feuil1
2022,الزيتونة,معتمدية تبرسق,34.0,10000.0,تنمية قطاع زيت الزيتزن-بيع مستلزمات الإنتاج,,Feuil1
2022,غلال دجبة,معتمدية تيبار,60.0,10000.0,جمع وترويج االتين - بيع  مستلزمات الإنتاج,غير ناشطة,Feuil1
2022,المستقبل,معتمدية نفزة,29.0,20000.0,الميكنة الفلاحية - بيع مستلزمات الانتاج - تنمية المنطقة السقوية بنفزة,غير ناشطة,Feuil1
2022,الوفاء,معتمدية باجة الجنوبية,7.0,25000.0,بيع مستلزمات الانتاج,غير ناشطة,Feuil1
2022,الرمانة,معتمدية تستور,41.0,26000.0,بيع مستلزمات الانتاج- جمع و ترويج الرمان,,Feuil1
2022,الاندلس,معتمدية تستور,7.0,5000.0,تنمية قطاع تربية الدواجن,,Feuil1
2022,دار النحال,معتمدية تيبار,7.0,3000.0,تنمية قطاع تربية النحل,,Feuil1
2022,cavicol,معتمدية تستور,7.0,13000.0,تنمية قطاع الدواجن,غير ناشطة,Feuil1
2022,الريادة,معتمدية باجة الشمالية,7.0,10000.0,بيع مستلزمات الإنتاج,غير ناشطة,Feuil1
2022,الإنطلاقة,معتمدية نفزة,7.0,4000.0,صناعة الجبن,غير ناشطة,Feuil1
2022,كنوز جبل الأبيض,معتمدية نفزة,11.0,4000.0,تثمين المنتوجات الغابية,,Feuil1
2022,مطمور روما,معتمدية باجة الجنوبية,7.0,1000.0,صناعة الجبن,,Feuil1
2022,ولادة 'compost',معتمدية باجة الجنوبية,7.0,1000.0,إنتاج السماد العضوي,,Feuil1
2022,مزارعي الحبوب  و المربين بالشمال,معتمدية باجة الشمالية,10.0,10000.0,تنمية قطاع تربية الأغنام,,Feuil1
2022,تربة بذور قصر الطير,معتمدية قبلاط,9.0,28000.0,تنمية قطاع الحبوب و توفير مستلزمات الإنتاج,,Feuil1
2023,الإزدهار,معتمدية تيبار,34.0,16150.0,جمع وترويج الحليب الطازج,,Feuil1
2023,الأمـل,معتمدية عمدون,46.0,17200.0,جمع وترويج الحليب الطازج,,Feuil1
2023,أقري بن ساسي,معتمدية باجة الجنوبية,10.0,5050.0,الميكنة الفلاحية,,Feuil1
2023,الكابتول,معتمدية تبرسق,41.0,5050.0,بيع مستلزمات الإنتاج,,Feuil1
2023,الزيتونة,معتمدية تبرسق,34.0,10000.0,تنمية قطاع زيت الزيتزن-بيع مستلزمات الإنتاج,,Feuil1
2023,غلال دجبة,معتمدية تيبار,60.0,10000.0,جمع وترويج االتين - بيع  مستلزمات الإنتاج,غير ناشطة,Feuil1
2023,المستقبل,معتمدية نفزة,29.0,20000.0,الميكنة الفلاحية - بيع مستلزمات الانتاج - تنمية المنطقة السقوية بنفزة,غير ناشطة,Feuil1
2023,الوفاء,معتمدية باجة الجنوبية,7.0,25000.0,بيع مستلزمات الانتاج,غير ناشطة,Feuil1
2023,الرمانة,معتمدية تستور,41.0,26000.0,بيع مستلزمات الانتاج- جمع و ترويج الرمان,,Feuil1
2023,الاندلس,معتمدية تستور,7.0,5000.0,تنمية قطاع تربية الدواجن,,Feuil1
2023,دار النحال,معتمدية تيبار,20.0,3000.0,تنمية قطاع تربية النحل,,Feuil1
2023,cavicol,معتمدية تستور,7.0,13000.0,تنمية قطاع الدواجن,غير ناشطة,Feuil1
2023,الريادة,معتمدية باجة الشمالية,7.0,10000.0,بيع مستلزمات الإنتاج,غير ناشطة,Feuil1
2023,الإنطلاقة,معتمدية نفزة,7.0,4000.0,صناعة الجبن,غير ناشطة,Feuil1
2023,كنوز جبل الأبيض,معتمدية نفزة,11.0,4000.0,تثمين المنتوجات الغابية,,Feuil1
2023,مطمور روما,معتمدية باجة الجنوبية,7.0,1000.0,صناعة الجبن,,Feuil1
2023,ولادة 'compost',معتمدية باجة الجنوبية,20.0,1000.0,إنتاج السماد العضوي,,Feuil1
2023,مزارعي الحبوب  و المربين بالشمال,معتمدية باجة الشمالية,10.0,10000.0,تنمية قطاع تربية الأغنام,,Feuil1
2023,تربة بذور قصر الطير,معتمدية قبلاط,9.0,28000.0,تنمية قطاع الحبوب و توفير مستلزمات الإنتاج,,Feuil1
2023,جنان هيفاء قرين,معتمدية قبلاط,7.0,10000.0,تحويل المنتوجات الفلاحية,في بداية النشاط,Feuil1
2024,الإزدهار,معتمدية تيبار,34.0,16150.0,جمع وترويج الحليب الطازج,,Feuil1
2024,الأمـل,معتمدية عمدون,46.0,17200.0,جمع وترويج الحليب الطازج,,Feuil1
2024,أقري بن ساسي,معتمدية باجة الجنوبية,10.0,5050.0,الميكنة الفلاحية,,Feuil1
2024,الكابتول,معتمدية تبرسق,41.0,5050.0,بيع مستلزمات الإنتاج,,Feuil1
2024,الزيتونة,معتمدية تبرسق,34.0,10000.0,تنمية قطاع زيت الزيتزن-بيع مستلزمات الإنتاج,,Feuil1
2024,غلال دجبة,معتمدية تيبار,60.0,10000.0,جمع وترويج االتين - بيع  مستلزمات الإنتاج,غير ناشطة,Feuil1
2024,المستقبل,معتمدية نفزة,29.0,20000.0,الميكنة الفلاحية - بيع مستلزمات الانتاج - تنمية المنطقة السقوية بنفزة,غير ناشطة,Feuil1
2024,الوفاء,معتمدية باجة الجنوبية,7.0,25000.0,بيع مستلزمات الانتاج,غير ناشطة,Feuil1
2024,الرمانة,معتمدية تستور,41.0,26000.0,بيع مستلزمات الانتاج- جمع و ترويج الرمان,,Feuil1
2024,الاندلس,معتمدية تستور,7.0,5000.0,تنمية قطاع تربية الدواجن,,Feuil1
2024,دار النحال,معتمدية تيبار,20.0,3000.0,تنمية قطاع تربية النحل,,Feuil1
2024,cavicol,معتمدية تستور,7.0,13000.0,تنمية قطاع الدواجن,غير ناشطة,Feuil1
2024,الإنطلاقة,معتمدية نفزة,7.0,4000.0,صناعة الجبن,غير ناشطة,Feuil1
2024,كنوز جبل الأبيض,معتمدية نفزة,11.0,4000.0,تثمين المنتوجات الغابية,,Feuil1
2024,مطمور روما,معتمدية باجة الجنوبية,7.0,1000.0,صناعة الجبن,,Feuil1
2024,ولادة 'compost',معتمدية باجة الجنوبية,20.0,1000.0,إنتاج السماد العضوي,,Feuil1
2024,مزارعي الحبوب  و المربين بالشمال,معتمدية باجة الشمالية,10.0,10000.0,تنمية قطاع تربية الأغنام,,Feuil1
2024,تربة بذور قصر الطير,معتمدية قبلاط,9.0,28000.0,تنمية قطاع الحبوب و توفير مستلزمات الإنتاج,,Feuil1
2024,جنان هيفاء قرين,معتمدية قبلاط,7.0,10000.0,تحويل المنتوجات الفلاحية,في بداية النشاط,Feuil1
2024,بيو بونيكا,تستور,23.0,,جمع و ترويج الرمان الزياتين و اللوزيات,,Feuil1
2024,حقل الإستدامة,نفزة,7.0,,في طور الإنطلاق,في بداية النشاط,Feuil1
