mois,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
Huile-d-olive,16.1,32.7,48.9,64.572,76.7,88.0,99.2,111.5,119.8,132.1,147.1,172.0,X°2019 (1000T)
Poissons,1.9,3.4,6.0,7.763,9.7,11.8,14.1,15.4,16.5,18.3,20.8,22.6,X°2019 (1000T)
Dattes,13.7,29.4,45.6,60.791,67.6,71.0,74.8,77.9,81.2,87.0,100.0,113.9,X°2019 (1000T)
Agrumes,3.3,6.3,10.7,13.419,14.1,14.3,14.7,14.9,15.5,16.0,16.7,17.7,X°2019 (1000T)
Tomates,2.951,4.707498,8.046107,11.738611,14.562068,15.743952,17.723224,17.757826,17.813666,17.959532,18.421145,20.042802,X°2019 (1000T)
