annee,delegation,nombre_de_huileries,capacite_de_transformation_tonne_24_heures,capacite_de_stokage_tonne,feuille
2020.0,Sidi Hassine,3,264.0,1320,Feuil1
2021.0,Sidi Hassine,3,264.0,1320,Feuil1
2022.0,Sidi Hassine,2*,260.0,1320,Feuil1
2023.0,Sidi Hassine,2,160.0,1320,Feuil1
2024.0,Sidi Hassine,2,160.0,1320,Feuil1
,,,,,Feuil1
,,,,* تم غلق معصرة بن جعفر بمنطقة برج شاكير لنشاطها دون ترخيص ،  في إطار المراقبة من قبل اللجنة الجهوية وقد تم رفع  محاضر مخالفة في الغرض .,Feuil1
,,,,** تم تعديل طاقة الخزن بالتنسيق مع دائرة الانتاج النباتي,Feuil1
