annee,mois,station,quantite_pluviometrie_mm,moyenne_mensuelle_mm,nombre_jours_pluvieux_mm,feuille
2025,janvier,ben_arous,117.0,64.6,7,Feuil2
2025,fevrier,ben_arous,77.0,44.7,6,Feuil2
2025,mars,ben_arous,60.5,36.9,5,Feuil2
2025,avril,ben_arous,57.0,31.1,7,Feuil2
2025,mai,ben_arous,31.0,23.4,6,Feuil2
2025,juin,ben_arous,39.0,103.0,1,Feuil2
2025,juiller,ben_arous,0.0,2.8,0,Feuil2
2025,aout,ben_arous,12.0,4.6,1,Feuil2
2025,septempre,ben_arous,34.0,41.31,3,Feuil2
2025,octobre,ben_arous,20.0,46.1,5,Feuil2
2025,nevombre,ben_arous,39.5,41.31,8,Feuil2
2025,decembre,ben_arous,56.0,86.16,10,Feuil2
2025,janvier,rades,123.0,60.3,9,Feuil2
2025,fevrier,rades,90.0,47.5,6,Feuil2
2025,mars,rades,58.0,33.1,5,Feuil2
2025,avril,rades,102.0,34.5,7,Feuil2
2025,mai,rades,55.0,34.9,6,Feuil2
2025,juin,rades,16.0,19.0,1,Feuil2
2025,juiller,rades,0.0,1.7,0,Feuil2
2025,aout,rades,8.0,7.1,1,Feuil2
2025,septempre,rades,42.0,73.57,5,Feuil2
2025,octobre,rades,40.0,39.2,5,Feuil2
2025,nevombre,rades,77.0,73.57,9,Feuil2
2025,decembre,rades,93.0,81.16,10,Feuil2
2025,janvier,megrin,108.0,52.1,9,Feuil2
2025,fevrier,megrin,81.0,44.0,6,Feuil2
2025,mars,megrin,54.0,28.0,5,Feuil2
2025,avril,megrin,98.0,28.8,7,Feuil2
2025,mai,megrin,47.0,24.9,6,Feuil2
2025,juin,megrin,15.0,15.1,1,Feuil2
2025,juiller,megrin,0.0,4.4,0,Feuil2
2025,aout,megrin,7.0,1.9,1,Feuil2
2025,septempre,megrin,34.0,69.38,5,Feuil2
2025,octobre,megrin,33.0,34.3,5,Feuil2
2025,nevombre,megrin,57.5,69.38,8,Feuil2
2025,decembre,megrin,76.0,63.71,9,Feuil2
2025,janvier,ham_life,134.0,63.0,9,Feuil2
2025,fevrier,ham_life,116.0,52.8,7,Feuil2
2025,mars,ham_life,52.0,49.1,5,Feuil2
2025,avril,ham_life,55.5,33.1,7,Feuil2
2025,mai,ham_life,27.0,19.0,5,Feuil2
2025,juin,ham_life,27.0,13.4,1,Feuil2
2025,juiller,ham_life,0.0,3.1,0,Feuil2
2025,aout,ham_life,0.0,7.0,0,Feuil2
2025,septempre,ham_life,23.0,47.49,5,Feuil2
2025,octobre,ham_life,34.0,57.1,4,Feuil2
2025,nevombre,ham_life,49.0,47.49,8,Feuil2
2025,decembre,ham_life,77.0,70.43,11,Feuil2
2025,janvier,boumhel,133.0,53.9,9,Feuil2
2025,fevrier,boumhel,95.0,50.4,6,Feuil2
2025,mars,boumhel,60.5,30.5,5,Feuil2
2025,avril,boumhel,46.0,45.9,7,Feuil2
2025,mai,boumhel,35.0,19.3,5,Feuil2
2025,juin,boumhel,20.0,14.9,1,Feuil2
2025,juiller,boumhel,0.0,5.2,0,Feuil2
2025,aout,boumhel,0.0,3.0,0,Feuil2
2025,septempre,boumhel,34.0,59.45,5,Feuil2
2025,octobre,boumhel,38.0,49.1,5,Feuil2
2025,nevombre,boumhel,47.0,59.45,8,Feuil2
2025,decembre,boumhel,63.0,67.93,12,Feuil2
2025,janvier,mhamdia,114.0,45.5,8,Feuil2
2025,fevrier,mhamdia,51.0,38.4,5,Feuil2
2025,mars,mhamdia,27.0,28.2,5,Feuil2
2025,avril,mhamdia,54.0,25.7,6,Feuil2
2025,mai,mhamdia,30.0,17.8,5,Feuil2
2025,juin,mhamdia,15.0,13.7,1,Feuil2
2025,juiller,mhamdia,0.0,2.5,0,Feuil2
2025,aout,mhamdia,0.0,2.6,0,Feuil2
2025,septempre,mhamdia,48.0,6081.0,5,Feuil2
2025,octobre,mhamdia,8.0,40.7,4,Feuil2
2025,nevombre,mhamdia,14.0,60.81,5,Feuil2
2025,decembre,mhamdia,68.0,65.24,11,Feuil2
2025,janvier,morneg,142.0,59.9,10,Feuil2
2025,fevrier,morneg,79.0,51.3,5,Feuil2
2025,mars,morneg,47.0,36.7,4,Feuil2
2025,avril,morneg,50.0,38.4,6,Feuil2
2025,mai,morneg,30.0,27.3,6,Feuil2
2025,juin,morneg,25.0,14.9,1,Feuil2
2025,juiller,morneg,0.0,5.1,0,Feuil2
