debut_de_la_periode,fin_de_la_periode,prix_de_vente_dinar_le_quintal,feuille
juin--2000,mai--2001,17,Feuil1
juin--2001,novembre--2001,18,Feuil1
decembre--2001,janvier--2002,19,Feuil1
fevrier--2002,decembre--2002,17,Feuil1
janvier--2003,mai--2007,20,Feuil1
juin--2007,novembre--2007,22,Feuil1
decembre--2007,mars--2008,27,Feuil1
avril--2008,decembre--2013,34,Feuil1
janvier--2014,mai--2014,38,Feuil1
depuis--juin--2014,,42,Feuil1
