annee,delegation,nombre_dabattoir,quantite_des_viandes_rouges_controlee_tonne,feuille
2021,Jendouba,1.0,0.0,Feuil1
2021,Jendouba Nord,1.0,0.0,Feuil1
2021,bousalem,1.0,0.0,Feuil1
2021,Baltabouauen,1.0,0.0,Feuil1
2021,Tabarka,1.0,0.0,Feuil1
2021,Aïn Draham,1.0,0.0,Feuil1
2021,Fernana,1.0,0.0,Feuil1
2021,Ghardimaou,,0.0,Feuil1
2021,Oued Mliz,,0.0,Feuil1
2022,Jendouba,1.0,344403.0,Feuil1
2022,Jendouba Nord,0.0,0.0,Feuil1
2022,bousalem,1.0,328037.0,Feuil1
2022,Baltabouauen,0.0,0.0,Feuil1
2022,Tabarka,1.0,189938.0,Feuil1
2022,Aïn Draham,1.0,135336.0,Feuil1
2022,Fernana,1.0,106981.0,Feuil1
2022,Ghardimaou,1.0,234446.0,Feuil1
2022,Oued Mliz,1.0,22696.0,Feuil1
2023,Jendouba,1.0,274657.0,Feuil1
2023,Jendouba Nord,0.0,0.0,Feuil1
2023,bousalem,1.0,249152.0,Feuil1
2023,Baltabouauen,0.0,0.0,Feuil1
2023,Tabarka,1.0,148426.0,Feuil1
2023,Aïn Draham,1.0,106615.0,Feuil1
2023,Fernana,1.0,120477.0,Feuil1
2023,Ghardimaou,1.0,182846.0,Feuil1
2023,Oued Mliz,1.0,13815.0,Feuil1
2024,Jendouba,1.0,275.428,Feuil1
2024,Jendouba Nord,0.0,0.0,Feuil1
2024,bousalem,1.0,250.986,Feuil1
2024,Baltabouauen,0.0,0.0,Feuil1
2024,Tabarka,1.0,124.941,Feuil1
2024,Aïn Draham,1.0,84.778,Feuil1
2024,Fernana,1.0,119.453,Feuil1
2024,Ghardimaou,1.0,158.197,Feuil1
2024,Oued Mliz,1.0,8.545,Feuil1
