annee,ann_2001,ann_2002,ann_2003,ann_2004,ann_2005,ann_2006,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,feuille
Janvier,15270.0,8982.141,5054.0,,,9711.0,8104.355,4358.48,2719.67,3374.054,2365.102,5694.1,2515.1400000000003,4619.109,2662.0,2021.4099999999999,7195.715,2000,2750,qté-son-tonne
Février,3300.0,13936.337999999998,6409.971,,5160.66,3020.0,10338.6,4185.53,8527.698,18274.087000000003,,6699.888,7896.99,4233.51,8716.44,9770.995,6400.38,1640,7540,qté-son-tonne
Mars,14065.128,9864.712,8406.56,,9333.93,4337.0,,3117.09,14577.111,20349.573,,9773.166,2420.0,7668.15,7407.9710000000005,17723.818,6976.0,7192,5060,qté-son-tonne
Avril,15649.55,19204.74,3358.631,,4924.7,10174.0,,,,2209.4,,2962.91,5500.0,3300.0,4228.512,8903.637999999999,4322.0,1790,4840,qté-son-tonne
Mai,,7665.857,,,,,,,2243.02,10071.987,2000.0,,4471.04,3287.5,2270.18,6200.0,400.0,3600,4900,qté-son-tonne
Juin,,6718.73,,,1514.626,7555.0,,1599.262,1800.0,6410.846,,4584.96,4628.4400000000005,2351.61,7702.17,4033.26,0.0,8685,1800,qté-son-tonne
Juillet,,,,,3472.35,5103.0,,,,6538.92,2100.0,4213.0,880.0,,4494.1,4597.73,4637.0,13775,2420,qté-son-tonne
Août,,3409.846,,,11715.02,1650.0,1900.0,,2014.16,4300.0,6271.822,,,3512.0,4770.0,7018.571,2014.0,2200,6405,qté-son-tonne
Septembre,,1000.0,,,1987.0,5430.0,,6957.95,8046.795,7966.6,6797.07,,6025.74,7012.47,5141.880000000001,2420.0,2219.0,4950,2600,qté-son-tonne
Octobre,4046.89,11996.775,,1400.0,4477.86,3530.0,,4393.237,2200.0,8753.1,5226.6,,4995.12,4397.73,5286.14,7737.91,9342.0,2420,7730,qté-son-tonne
Novembre,5482.362999999999,4750.0,,6201.844999999999,10559.06,,,4620.0,7237.0,15733.276,9031.695,,,7985.32,9523.413,6817.610000000001,6500.0,5324,5200,qté-son-tonne
Décembre,7636.15,7196.014999999999,,15483.4,17843.843999999997,3330.0,1599.951,4879.06,2242.05,7448.723,10212.467,,4763.347,2556.02,12721.706,6645.106,4294.0,0,4075,qté-son-tonne
