composante,utilisation,utilisation_ar,frequence_ar,frequence,source,source_ar,unite_ar,unite,composante_ar,images,feuille
Thiophanate-Méthyl1,"Oidium, moniliose, botrytis, tavelure",الجيارة، المونيليوز، الجرب، العفن الرمادي,شهريا,MENSUELLE,GIFruit,المجمع المهني للغلال,دينار/كلغ,TND/kg,تيوفنات ميتيل1,https://drive.google.com/file/d/17NtFQo8x7L1TxNerxiGZLVE4OSj13okm/view?usp=sharing,Feuil1
Thiophanate-Méthyl2,"Oidium, moniliose, botrytis, tavelure",الجيارة، المونيليوز، الجرب، العفن الرمادي,شهريا,MENSUELLE,CRDA Kairouan,المندوبية الجهوية للتنمية الفلاحية بالقيروان,دينار/كلغ,TND/kg,تيوفنات ميتيل2,,Feuil1
Thiophanate-Méthyl (500 g),"Oidium, moniliose, botrytis, tavelure",الجيارة، المونيليوز، الجرب، العفن الرمادي,شهريا,MENSUELLE,ONAGRI,المرصد الوطني للفلاحة,دينار/500غ,TND/500g,تيوفنات ميتيل (500غ),,Feuil1
Soufre mouillable1,"Oidium, acariose",البياض الدقيقي ( الجيارة) ، الأكاروس,شهريا,MENSUELLE,GIFruit,المجمع المهني للغلال,دينار/كلغ,TND/kg,كبريت ( بخارة ماء)1,,Feuil1
Soufre mouillable2,"Oidium, acariose",البياض الدقيقي ( الجيارة) ، الأكاروس,شهريا,MENSUELLE,CRDA Kairouan,المندوبية الجهوية للتنمية الفلاحية بالقيروان,دينار/كلغ,TND/kg,كبريت ( بخارة ماء)2,,Feuil1
Cuivre Métal 50%(1),"Traitement d’hiver, mildiou",المداوات الشتوية، البياض الزغبي ( الميلديو),شهريا,MENSUELLE,GIFruit,المجمع المهني للغلال,دينار/كلغ,TND/kg,مواد نحاسية 50(1),https://drive.google.com/file/d/1gG6TPUWEIoAdkQW8N2HWtrU7YW3-v5LY/view?usp=sharing,Feuil1
Cuivre Métal 50%(2),"Traitement d’hiver, mildiou",المداوات الشتوية، البياض الزغبي ( الميلديو),شهريا,MENSUELLE,CRDA Kairouan,المندوبية الجهوية للتنمية الفلاحية بالقيروان,دينار/كلغ,TND/kg,مواد نحاسية 50(2),,Feuil1
Cuivre Métal 50% (10Kg),"Traitement d’hiver, mildiou",المداوات الشتوية، البياض الزغبي ( الميلديو),شهريا,MENSUELLE,ONAGRI,المرصد الوطني للفلاحة,دينار/10كلغ,TND/10kg,مواد نحاسية 50 (10كلغ),,Feuil1
Zirame,"Tavelure, cloque",الجرب، التجعد,شهريا,MENSUELLE,GIFruit,المجمع المهني للغلال,دينار/كلغ,TND/kg,زيرام,https://drive.google.com/file/d/1dRLPB8pmX6oSFySNkpO44AEXitluvKDD/view?usp=sharing,Feuil1
Mancozèbe1,"Mildiou, rouille",الميلديو، الصدأ,شهريا,MENSUELLE,GIFruit,المجمع المهني للغلال,دينار/كلغ,TND/kg,منكوزيب1,https://drive.google.com/file/d/1-ISjWdMOYSpZlYQVhhfJNMcEbyco23Cf/view?usp=sharing,Feuil1
