composante,utilisation,utilisation_ar,frequence_ar,frequence,source_ar,source,unite_ar,unite,composante_ar,images,feuille
Imidaclopride2 (1l),"Mineuse, puçeron, mouche blanche, cicadelle",حافرة الأنفاق،الزيلي، الذبابة البيضاء، السيكادل,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/ليتر,TND/l,أميدا كلوبريد (1ل),https://drive.google.com/file/d/16Q6tNY4aMGR0w4mLH5_ZMwxndcGYH2_E/view?usp=sharing,Feuil1
Huile minérale1,Traitement d’hiver,المداوات الشتوية,شهريا,MENSUELLE,المجمع المهني للغلال,GIFruit,دينار/ ليتر,TND/l,زيوت معدنية بيضاء1,https://drive.google.com/file/d/1naAdcMfvkrfOYqJ1s3V6RoHLs7A4aoYm/view?usp=sharing,Feuil1
Huile minérale2,Traitement d’hiver,المداوات الشتوية,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/ ليتر,TND/l,زيوت معدنية بيضاء2,,Feuil1
Huille minérale( 20l),Traitement d’hiver,المداوات الشتوية,شهريا,MENSUELLE,المرصد الوطني للفلاحة,ONAGRI,دينار/20 ليتر,TND/20l,زيوت معدنية بيضاء (20ل),,Feuil1
Acétamipride1,"Mineuse, puçeron, thrips",حافرة الأنفاق، الزيلي،التربس,شهريا,MENSUELLE,المجمع المهني للغلال,GIFruit,دينار/ليتر,TND/l,أسيتاميبريد1,https://drive.google.com/file/d/15f8T32S1QKiXFYFi7onMxbMuhNhO_lV0/view?usp=sharing,Feuil1
Acétamipride2,"Mineuse, puçeron, thrips",حافرة الأنفاق، الزيلي،التربس,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/ليتر,TND/l,أسيتاميبريد2,,Feuil1
Acétamipride3,"Mineuse, puçeron, thrips",حافرة الأنفاق، الزيلي،التربس,شهريا,MENSUELLE,المرصد الوطني للفلاحة,ONAGRI,دينار/ليتر,TND/l,أسيتاميبريد3,,Feuil1
Diméthoate1,"Teigne de l’olivier, psylle de l’olivier, dacus, cératite, carpocapse, puçeron",عثة الزيتون، بسيلا الزيتون، ذبابة الزيتون، الذبابة المتوسطية، الكاربوكابس، الزيلي,شهريا,MENSUELLE,المجمع المهني للغلال,GIFruit,دينار/ليتر,TND/l,ديمتوات1,https://drive.google.com/file/d/1EsVh-Zzt3bAzQG_JQBHizni47Ur8kA3m/view?usp=sharing,Feuil1
Diméthoate2,"Teigne de l’olivier, psylle de l’olivier, dacus, cératite, carpocapse, puçeron",عثة الزيتون، بسيلا الزيتون، ذبابة الزيتون، الذبابة المتوسطية، الكاربوكابس، الزيلي,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/ليتر,TND/l,ديمتوات2,,Feuil1
Deltametrine1,"Puçeron, thrips, ver de la grappe, mineuse, carpocapse, cératite",الزيلي،التربس، دودة ثمار العنب، بسيلا الزيتون، عثة الزيتون، حافرة الأنفاق، الكاربوكابس، الذبابة المتوسطية,شهريا,MENSUELLE,المجمع المهني للغلال,GIFruit,دينار/ليتر,TND/l,دلتامترين1,https://drive.google.com/file/d/1sI8pGFzJZ0y9ZR8xNIR8awsvsIIyXtvD/view?usp=sharing,Feuil1
