delegation_ar,delegation_fr,annee,production_huile_olives_tonnes,feuille
بوفيشة,bouficha,2016,880,Feuil1
النفيضة,enfidha,2016,680,Feuil1
كندار,kondar,2016,9,Feuil1
سيدي بو علي,sidi bou ali,2016,168,Feuil1
هرقلة,hergla,2016,36,Feuil1
القلعة الكبرى,kalaa kébira,2016,2050,Feuil1
القلعة الصغرى,kalaa sghira,2016,94,Feuil1
سوسة الرياض,sousse riadh,2016,130,Feuil1
أكودة,akouda,2016,250,Feuil1
حمام سوسة,hammam sousse,2016,14,Feuil1
مساكن,msaken,2016,102,Feuil1
سيدي الهاني,sidi el héni,2016,330,Feuil1
بوفيشة,bouficha,2017,3020,Feuil1
النفيضة,enfidha,2017,4216,Feuil1
كندار,kondar,2017,2424,Feuil1
سيدي بو علي,sidi bou ali,2017,1458,Feuil1
هرقلة,hergla,2017,540,Feuil1
القلعة الكبرى,kalaa kébira,2017,9909,Feuil1
القلعة الصغرى,kalaa sghira,2017,2324,Feuil1
سوسة الرياض,sousse riadh,2017,158,Feuil1
أكودة,akouda,2017,735,Feuil1
حمام سوسة,hammam sousse,2017,46,Feuil1
مساكن,msaken,2017,5660,Feuil1
سيدي الهاني,sidi el héni,2017,3346,Feuil1
بوفيشة,bouficha,2018,1242,Feuil1
النفيضة,enfidha,2018,420,Feuil1
كندار,kondar,2018,80,Feuil1
سيدي بو علي,sidi bou ali,2018,118,Feuil1
هرقلة,hergla,2018,27,Feuil1
القلعة الكبرى,kalaa kébira,2018,1692,Feuil1
القلعة الصغرى,kalaa sghira,2018,76,Feuil1
سوسة الرياض,sousse riadh,2018,50,Feuil1
أكودة,akouda,2018,220,Feuil1
حمام سوسة,hammam sousse,2018,13,Feuil1
مساكن,msaken,2018,220,Feuil1
سيدي الهاني,sidi el héni,2018,100,Feuil1
بوفيشة,bouficha,2019,2680,Feuil1
النفيضة,enfidha,2019,5500,Feuil1
كندار,kondar,2019,2640,Feuil1
سيدي بو علي,sidi bou ali,2019,1620,Feuil1
هرقلة,hergla,2019,540,Feuil1
القلعة الكبرى,kalaa kébira,2019,11404,Feuil1
القلعة الصغرى,kalaa sghira,2019,2298,Feuil1
سوسة الرياض,sousse riadh,2019,1650,Feuil1
أكودة,akouda,2019,1495,Feuil1
حمام سوسة,hammam sousse,2019,103,Feuil1
مساكن,msaken,2019,5660,Feuil1
سيدي الهاني,sidi el héni,2019,4410,Feuil1
بوفيشة,bouficha,2020,1560,Feuil1
النفيضة,enfidha,2020,152,Feuil1
كندار,kondar,2020,104,Feuil1
سيدي بو علي,sidi bou ali,2020,244,Feuil1
هرقلة,hergla,2020,90,Feuil1
القلعة الكبرى,kalaa kébira,2020,1967,Feuil1
القلعة الصغرى,kalaa sghira,2020,448,Feuil1
سوسة الرياض,sousse riadh,2020,232,Feuil1
أكودة,akouda,2020,510,Feuil1
حمام سوسة,hammam sousse,2020,36,Feuil1
مساكن,msaken,2020,1884,Feuil1
سيدي الهاني,sidi el héni,2020,180,Feuil1
بوفيشة,bouficha,2021,2410,Feuil1
النفيضة,enfidha,2021,1458,Feuil1
كندار,kondar,2021,1120,Feuil1
سيدي بو علي,sidi bou ali,2021,1354,Feuil1
هرقلة,hergla,2021,576,Feuil1
القلعة الكبرى,kalaa kébira,2021,4242,Feuil1
القلعة الصغرى,kalaa sghira,2021,176,Feuil1
سوسة الرياض,sousse riadh,2021,206,Feuil1
أكودة,akouda,2021,1540,Feuil1
حمام سوسة,hammam sousse,2021,115,Feuil1
مساكن,msaken,2021,640,Feuil1
سيدي الهاني,sidi el héni,2021,2400,Feuil1
بوفيشة,bouficha,2022,740,Feuil1
النفيضة,enfidha,2022,487,Feuil1
كندار,kondar,2022,200,Feuil1
سيدي بو علي,sidi bou ali,2022,452,Feuil1
هرقلة,hergla,2022,150,Feuil1
القلعة الكبرى,kalaa kébira,2022,950,Feuil1
القلعة الصغرى,kalaa sghira,2022,128,Feuil1
سوسة الرياض,sousse riadh,2022,410,Feuil1
أكودة,akouda,2022,670,Feuil1
حمام سوسة,hammam sousse,2022,63,Feuil1
مساكن,msaken,2022,530,Feuil1
سيدي الهاني,sidi el héni,2022,620,Feuil1
