annee,delegation,nbre_ports,nbre_quais,nbre_ateliers,nbre_usines_refrigeration,nbre_moyens_transport_frigorifique,feuille
2024,قابس المدينة,1,2 (990m),20,5,90,Feuil1
2024,مارث,1,1 (350m),2,3,20,Feuil1
2024,المجموع,2,,22,8,110,Feuil1
