annee,delegation,barques_peche_cotiere_normale,barques_peche_cotiere_equipe,sennes,barques_peche_thon,barques_peche_sardine,feuille
2024,قابس المدينة,37,158,65,2,0,Feuil1
2024,غنوش,235,126,0,0,0,Feuil1
2024,المطوية (العكاريت),34,0,0,0,0,Feuil1
2024,مارث (الزرات),10,30,9,0,0,Feuil1
2024,المجموع,316,314,74,2,0,Feuil1
